['168', '176', '97', '128']
['248', '162', '26', '156']
['109', '212', '242', '135']
['152', '56', '189', '238']
['203', '89', '59', '228']
['81', '88', '92', '164']
['24', '116', '159', '196']
['87', '169', '188', '72']
['215', '74', '63', '234']
['148', '145', '239', '8']
['149', '222', '166', '75']
['139', '79', '15', '123']
['114', '52', '241', '194']
['182', '21', '174', '105']
['208', '27', '91', '11']
['246', '190', '158', '127']
['185', '48', '95', '144']
['25', '122', '126', '33']
['211', '82', '6', '187']
['132', '150', '220', '146']
['93', '37', '198', '230']
['10', '20', '183', '216']
['161', '163', '133', '46']
['41', '247', '84', '118']
['111', '0', '184', '66']
['90', '172', '235', '14']
['225', '5', '202', '160']
['3', '217', '178', '53']
['58', '237', '7', '23']
['197', '192', '103', '108']
['49', '175', '32', '30']
['9', '86', '245', '170']
['38', '28', '171', '99']
['42', '40', '47', '29']
['61', '209', '12', '100']
['165', '50', '69', '51']
['210', '179', '229', '130']
['67', '22', '129', '104']
['249', '223', '236', '233']
['124', '157', '181', '110']
['119', '143', '120', '70']
['207', '243', '205', '57']
['226', '115', '231', '244']
['167', '36', '18', '195']
['113', '151', '206', '17']
['62', '131', '76', '201']
['117', '221', '73', '80']
['214', '153', '102', '68']
['34', '177', '106', '136']
['60', '112', '2', '141']
['85', '224', '96', '54']
['44', '16', '55', '147']
['227', '125', '240', '4']
['137', '213', '94', '45']
['101', '193', '78', '39']
['191', '65', '173', '180']
['107', '154', '35', '232']
['200', '218', '138', '71']
['64', '134', '77', '1']
['204', '31', '19', '219']
['13', '121', '140', '98']
['186', '142', '43', '199']
['155', '83']
