['205', '176', '453', '143', '218', '26', '477', '200', '325', '105']
['11', '324', '259', '301', '405', '410', '19', '293', '406', '173']
['206', '223', '423', '295', '393', '297', '334', '443', '475', '466']
['62', '448', '479', '33', '247', '23', '317', '263', '196', '141']
['58', '328', '267', '459', '303', '160', '318', '458', '203', '186']
['338', '414', '28', '53', '237', '402', '103', '94', '55', '123']
['227', '119', '422', '287', '133', '121', '114', '444', '80', '306']
['285', '480', '380', '403', '38', '473', '110', '243', '401', '157']
['434', '486', '442', '460', '419', '47', '365', '107', '163', '452']
['213', '152', '69', '235', '384', '250', '79', '48', '195', '42']
['3', '179', '229', '476', '233', '397', '254', '426', '430', '77']
['187', '337', '407', '411', '248', '10', '438', '169', '147', '126']
['304', '372', '249', '81', '315', '100', '128', '116', '305', '115']
['487', '274', '59', '456', '375', '421', '40', '369', '451', '230']
['5', '199', '97', '290', '30', '312', '190', '88', '174', '286']
['320', '326', '61', '333', '201', '144', '454', '389', '462', '4']
['277', '95', '427', '356', '109', '399', '288', '90', '260', '440']
['211', '177', '112', '210', '192', '162', '16', '131', '345', '273']
['485', '409', '364', '52', '358', '113', '455', '339', '279', '478']
['350', '208', '149', '228', '172', '472', '272', '150', '226', '60']
['214', '49', '344', '413', '209', '386', '377', '495', '341', '231']
['87', '355', '216', '156', '29', '175', '251', '27', '494', '44']
['357', '351', '217', '321', '330', '185', '51', '159', '153', '316']
['269', '441', '381', '449', '391', '83', '104', '266', '283', '327']
['420', '182', '437', '390', '308', '198', '74', '164', '489', '275']
['322', '298', '220', '483', '202', '291', '359', '428', '417', '361']
['102', '101', '352', '299', '383', '496', '329', '435', '362', '50']
['262', '261', '96', '370', '197', '132', '282', '219', '72', '99']
['268', '161', '465', '91', '212', '498', '244', '92', '215', '332']
['9', '140', '125', '253', '124', '35', '41', '311', '240', '385']
['294', '232', '24', '296', '270', '167', '221', '367', '136', '158']
['353', '85', '13', '396', '8', '346', '257', '78', '138', '347']
['31', '22', '482', '481', '387', '394', '340', '106', '360', '118']
['84', '234', '66', '373', '255', '388', '400', '300', '463', '429']
['292', '63', '408', '193', '34', '236', '349', '278', '120', '354']
['117', '184', '284', '98', '342', '21', '7', '56', '139', '431']
['289', '343', '36', '17', '439', '323', '54', '25', '0', '46']
['470', '189', '468', '57', '331', '493', '20', '165', '148', '252']
['225', '450', '348', '302', '319', '464', '371', '382', '183', '18']
['264', '155', '154', '65', '497', '432', '376', '207', '170', '446']
['436', '379', '398', '37', '135', '447', '70', '45', '246', '471']
['368', '241', '178', '404', '93', '256', '14', '307', '142', '424']
['313', '245', '108', '1', '6', '73', '67', '415', '265', '374']
['488', '12', '76', '166', '418', '180', '242', '89', '111', '130']
['43', '222', '181', '258', '416', '395', '75', '224', '280', '425']
['151', '445', '82', '238', '378', '2', '276', '335', '310', '71']
['64', '412', '32', '490', '281', '204', '271', '145', '392', '366']
['433', '15', '499', '129', '314', '146', '491', '68', '191', '86']
['363', '457', '467', '188', '122', '309', '127', '239', '171', '39']
['168', '484', '474', '461', '194', '336', '492', '134', '469', '137']
