['227', '15', '59', '53', '85', '52', '54', '41', '66', '57', '44', '47', '389', '56', '341', '51', '42', '169', '55', '50']
['246', '154', '259', '241', '187', '230', '192', '359', '114', '10', '254', '255', '244', '245', '306', '311', '260', '242', '240', '141']
['313', '277', '102', '274', '267', '268', '270', '93', '250', '391', '266', '167', '278', '226', '279', '263', '271', '261', '275', '273']
['285', '176', '343', '193', '237', '386', '160', '319', '40', '190', '325', '45', '231', '288', '165', '0', '20', '196', '322', '392']
['87', '84', '22', '95', '96', '199', '81', '82', '83', '281', '98', '251', '234', '120', '265', '94', '92', '219', '115', '385']
['152', '149', '372', '156', '336', '364', '284', '17', '394', '150', '146', '340', '291', '144', '145', '191', '153', '157', '4', '367']
['357', '344', '351', '350', '353', '355', '356', '348', '16', '143', '349', '201', '358', '318', '334', '103', '286', '142', '280', '354']
['368', '298', '294', '292', '76', '290', '321', '384', '182', '8', '293', '197', '19', '283', '295', '238', '104', '180', '374', '86']
['64', '49', '225', '62', '78', '61', '194', '63', '65', '236', '70', '73', '67', '72', '68', '147', '106', '148', '89', '77']
['31', '222', '139', '129', '228', '132', '133', '131', '125', '395', '121', '124', '388', '371', '136', '137', '307', '127', '130', '138']
['117', '379', '363', '370', '13', '377', '375', '376', '166', '212', '378', '366', '365', '79', '373', '316', '317', '158', '362', '18']
['177', '168', '224', '328', '90', '97', '99', '198', '287', '6', '221', '111', '382', '75', '345', '204', '329', '305', '123', '105']
['205', '32', '37', '301', '24', '34', '38', '36', '309', '202', '323', '33', '21', '185', '29', '26', '35', '23', '170', '39']
['264', '262', '208', '326', '269', '289', '210', '209', '272', '188', '361', '2', '258', '218', '369', '257', '360', '327', '347', '46']
['9', '320', '3', '5', '178', '179', '337', '162', '161', '299', '74', '164', '352', '297', '163', '48', '174', '339', '173', '171']
['58', '43', '214', '387', '315', '312', '229', '256', '233', '253', '248', '247', '25', '243', '181', '300', '186', '252', '71', '332']
['211', '213', '206', '28', '217', '380', '216', '235', '314', '381', '200', '110', '393', '331', '207', '397', '27', '80', '203', '215']
['338', '398', '101', '12', '69', '172', '108', '151', '396', '175', '91', '1', '330', '113', '296', '14', '399', '7', '195', '60']
['140', '282', '303', '390', '122', '333', '189', '342', '128', '100', '302', '134', '346', '107', '308', '88', '310', '335', '118', '183']
['155', '11', '324', '232', '184', '220', '135', '249', '112', '30', '119', '223', '383', '109', '304', '116', '276', '159', '239', '126']
