['405', '227', '324', '115', '266']
['482', '114', '272', '390', '377']
['67', '0', '469', '418', '173']
['159', '299', '450', '347', '73']
['153', '10', '419', '15', '54']
['400', '222', '2', '47', '99']
['111', '300', '463', '478', '133']
['165', '189', '423', '358', '483']
['293', '309', '223', '462', '452']
['321', '431', '435', '144', '253']
['485', '337', '56', '98', '48']
['356', '45', '1', '183', '141']
['235', '304', '84', '241', '121']
['210', '391', '186', '158', '385']
['359', '172', '388', '239', '494']
['457', '64', '360', '205', '156']
['313', '414', '94', '430', '442']
['472', '215', '181', '71', '454']
['191', '351', '83', '176', '425']
['132', '447', '97', '361', '289']
['344', '403', '477', '199', '262']
['36', '406', '445', '259', '164']
['407', '31', '474', '369', '185']
['318', '397', '496', '326', '6']
['492', '209', '80', '147', '228']
['314', '350', '184', '439', '59']
['34', '488', '93', '108', '100']
['395', '38', '8', '274', '134']
['389', '486', '82', '150', '413']
['374', '277', '487', '333', '23']
['264', '375', '107', '426', '161']
['338', '119', '292', '217', '103']
['140', '87', '285', '198', '306']
['249', '436', '257', '465', '170']
['387', '125', '96', '392', '448']
['248', '427', '270', '340', '355']
['208', '169', '62', '131', '225']
['124', '50', '142', '281', '66']
['456', '373', '401', '145', '197']
['420', '21', '138', '440', '242']
['437', '346', '372', '149', '415']
['336', '49', '20', '328', '195']
['279', '348', '118', '466', '53']
['13', '409', '4', '68', '63']
['11', '332', '16', '424', '69']
['117', '163', '394', '335', '174']
['240', '102', '254', '276', '261']
['109', '106', '278', '444', '76']
['122', '458', '363', '460', '19']
['113', '151', '219', '233', '290']
['393', '192', '354', '57', '343']
['416', '294', '470', '160', '349']
['291', '312', '35', '432', '120']
['331', '402', '305', '180', '265']
['352', '218', '188', '129', '196']
['317', '308', '441', '61', '167']
['334', '157', '386', '104', '411']
['214', '30', '491', '329', '489']
['24', '297', '449', '146', '408']
['40', '148', '92', '433', '268']
['378', '229', '91', '316', '302']
['179', '396', '175', '77', '283']
['203', '177', '190', '327', '273']
['357', '187', '46', '467', '498']
['216', '263', '154', '275', '330']
['182', '256', '255', '499', '310']
['86', '490', '287', '479', '230']
['85', '213', '322', '112', '75']
['81', '26', '52', '422', '301']
['22', '232', '341', '212', '443']
['58', '320', '14', '32', '237']
['364', '168', '475', '126', '473']
['116', '298', '461', '105', '434']
['247', '493', '74', '123', '135']
['260', '398', '3', '455', '250']
['307', '152', '78', '319', '258']
['90', '28', '286', '353', '295']
['143', '193', '325', '128', '267']
['315', '27', '226', '44', '471']
['421', '379', '464', '404', '194']
['224', '453', '166', '204', '284']
['207', '5', '380', '72', '231']
['171', '303', '417', '468', '33']
['246', '127', '381', '37', '51']
['251', '495', '139', '88', '383']
['345', '162', '497', '41', '366']
['17', '243', '43', '311', '39']
['282', '269', '89', '342', '18']
['368', '412', '438', '382', '234']
['29', '365', '60', '252', '245']
['484', '7', '339', '280', '288']
['25', '271', '130', '12', '323']
['101', '221', '9', '371', '155']
['42', '476', '296', '55', '244']
['384', '481', '79', '220', '376']
['399', '480', '202', '178', '238']
['451', '206', '367', '429', '446']
['236', '95', '370', '362', '136']
['410', '201', '70', '428', '110']
['211', '65', '137', '200', '459']
