['84', '135', '132', '133', '131', '136', '137', '139', '130', '138']
['232', '235', '237', '236', '233', '238', '234', '45', '231', '230']
['277', '274', '34', '270', '278', '273', '276', '271', '275', '366']
['240', '146', '248', '247', '243', '144', '242', '244', '360', '362']
['11', '12', '13', '24', '19', '198', '16', '17', '10', '18']
['76', '384', '321', '74', '73', '72', '75', '78', '77', '71']
['241', '381', '249', '385', '253', '358', '365', '245', '246', '332']
['264', '269', '223', '263', '113', '114', '265', '260', '261', '262']
['9', '3', '5', '8', '1', '6', '2', '7', '0', '4']
['357', '368', '351', '353', '355', '356', '352', '83', '359', '388']
['344', '294', '343', '342', '349', '340', '346', '341', '345', '347']
['117', '112', '119', '166', '110', '100', '116', '115', '111', '118']
['214', '213', '211', '217', '216', '212', '218', '88', '215', '219']
['222', '205', '208', '364', '65', '209', '202', '207', '200', '204']
['350', '199', '194', '197', '192', '193', '369', '195', '191', '196']
['285', '289', '282', '284', '281', '287', '283', '288', '286', '280']
['95', '59', '53', '383', '256', '190', '257', '252', '123', '361']
['28', '42', '291', '40', '47', '48', '41', '43', '44', '46']
['87', '129', '85', '81', '82', '80', '140', '86', '89', '50']
['155', '154', '152', '156', '151', '150', '157', '158', '171', '354']
['398', '292', '390', '396', '394', '391', '395', '393', '397', '399']
['320', '380', '268', '267', '290', '122', '266', '128', '14', '329']
['322', '315', '387', '312', '348', '333', '52', '251', '145', '325']
['313', '22', '328', '314', '319', '318', '310', '317', '311', '316']
['168', '161', '162', '160', '164', '167', '163', '51', '165', '169']
['379', '372', '370', '377', '375', '376', '378', '373', '371', '374']
['49', '324', '15', '210', '175', '21', '124', '27', '254', '20']
['304', '301', '303', '308', '309', '302', '306', '307', '300', '305']
['206', '32', '30', '37', '36', '98', '33', '201', '121', '39']
['338', '31', '336', '337', '330', '331', '334', '335', '382', '339']
['177', '298', '178', '172', '179', '386', '250', '170', '389', '173']
['326', '96', '91', '299', '70', '79', '159', '153', '148', '327']
['187', '182', '181', '189', '185', '180', '23', '186', '183', '141']
['225', '227', '363', '220', '228', '229', '221', '226', '120', '224']
['38', '125', '293', '92', '25', '26', '35', '134', '142', '126']
['102', '108', '101', '143', '104', '109', '107', '103', '106', '105']
['184', '29', '272', '188', '54', '323', '295', '297', '279', '392']
['64', '62', '63', '61', '69', '66', '67', '68', '203', '60']
['58', '149', '239', '296', '93', '57', '56', '255', '367', '99']
['259', '176', '97', '258', '174', '147', '90', '94', '127', '55']
