['481', '76', '434', '486', '356', '427', '348', '497', '401', '476', '498', '265', '124', '491', '444', '339', '402', '77', '171', '105']
['357', '488', '205', '149', '404', '193', '284', '337', '133', '191', '100', '340', '473', '330', '226', '335', '231', '245', '345', '44']
['269', '355', '197', '192', '384', '424', '188', '202', '391', '33', '207', '234', '17', '123', '382', '195', '360', '316', '392', '483']
['49', '470', '301', '408', '413', '162', '445', '423', '418', '390', '113', '134', '68', '224', '204', '354', '4', '118', '126', '425']
['176', '32', '268', '194', '132', '290', '39', '161', '394', '96', '411', '378', '367', '388', '428', '137', '142', '430', '147', '431']
['155', '95', '450', '42', '315', '403', '198', '8', '250', '150', '300', '128', '318', '88', '244', '389', '451', '145', '138', '46']
['211', '214', '206', '154', '140', '84', '156', '216', '272', '74', '291', '253', '221', '18', '174', '310', '200', '246', '322', '366']
['485', '480', '12', '69', '63', '387', '24', '490', '439', '252', '410', '21', '115', '327', '255', '286', '158', '72', '240', '332']
['436', '381', '343', '459', '151', '34', '282', '383', '201', '331', '464', '475', '399', '242', '454', '75', '279', '215', '449', '471']
['285', '441', '65', '364', '52', '98', '104', '70', '359', '251', '248', '325', '369', '446', '260', '148', '60', '55', '478', '50']
['368', '304', '11', '274', '210', '29', '270', '312', '16', '83', '492', '6', '110', '101', '27', '163', '26', '257', '311', '307']
['482', '372', '129', '178', '228', '172', '182', '271', '36', '256', '233', '238', '421', '67', '397', '341', '455', '86', '92', '99']
['58', '177', '412', '379', '259', '474', '30', '53', '199', '164', '295', '146', '40', '426', '35', '45', '371', '374', '406', '429']
['298', '184', '484', '499', '370', '461', '321', '398', '456', '102', '333', '229', '489', '323', '393', '352', '107', '493', '494', '463']
['117', '351', '328', '112', '78', '296', '122', '308', '119', '479', '109', '416', '247', '342', '23', '306', '127', '305', '440', '466']
['313', '71', '222', '227', '363', '217', '292', '267', '135', '396', '91', '212', '375', '297', '47', '276', '80', '130', '362', '385']
['320', '350', '5', '15', '62', '289', '131', '157', '361', '263', '57', '376', '94', '10', '120', '111', '0', '20', '275', '141']
['9', '168', '139', '433', '97', '37', '448', '453', '125', '189', '443', '365', '438', '79', '469', '458', '169', '435', '186', '262']
['64', '414', '294', '380', '326', '409', '108', '277', '3', '81', '93', '299', '419', '386', '209', '82', '114', '48', '173', '43']
['22', '324', '353', '235', '465', '405', '237', '309', '319', '266', '2', '495', '334', '243', '116', '103', '51', '317', '153', '329']
['420', '87', '264', '232', '344', '220', '61', '152', '85', '336', '159', '160', '407', '54', '1', '136', '170', '165', '106', '280']
['241', '457', '442', '437', '179', '472', '303', '447', '432', '143', '236', '281', '293', '349', '477', '452', '90', '462', '89', '239']
['338', '487', '59', '314', '13', '166', '302', '283', '66', '121', '278', '358', '56', '415', '395', '288', '400', '373', '219', '273']
['213', '225', '31', '208', '183', '249', '377', '19', '223', '422', '38', '41', '218', '7', '144', '203', '261', '417', '347', '230']
['496', '28', '187', '467', '460', '175', '181', '258', '185', '73', '287', '190', '468', '14', '180', '167', '346', '254', '25', '196']
