['338', '177', '5', '328', '309', '120', '44', '141', '102', '59', '30', '83', '254', '92', '72', '273', '344', '117', '379', '336', '132', '85', '281', '107', '327']
['182', '93', '36', '287', '302', '88', '369', '204', '366', '178', '235', '116', '170', '90', '63', '396', '188', '118', '183', '50', '275', '296', '82', '391', '105']
['370', '166', '247', '339', '86', '22', '363', '96', '228', '106', '316', '298', '223', '330', '334', '322', '138', '211', '355', '312', '19', '256', '136', '263', '0']
['206', '194', '290', '133', '134', '243', '56', '351', '2', '147', '55', '313', '372', '349', '251', '221', '127', '261', '239', '29', '114', '180', '200', '126', '18']
['175', '27', '174', '389', '157', '274', '237', '160', '376', '329', '213', '192', '198', '169', '361', '227', '184', '384', '236', '342', '358', '318', '395', '248', '94']
['37', '69', '98', '25', '371', '43', '3', '294', '301', '387', '270', '201', '310', '286', '171', '162', '125', '354', '332', '49', '161', '257', '139', '60', '367']
['321', '337', '103', '345', '173', '215', '347', '398', '352', '323', '373', '163', '245', '305', '95', '220', '326', '67', '304', '168', '208', '34', '253', '359', '80']
['129', '16', '276', '203', '20', '216', '283', '397', '144', '99', '289', '268', '181', '258', '70', '26', '317', '368', '62', '53', '315', '234', '68', '165', '142']
['357', '320', '285', '277', '28', '123', '189', '23', '42', '311', '145', '280', '264', '87', '12', '210', '113', '341', '158', '394', '340', '207', '365', '47', '392']
['11', '282', '191', '186', '362', '350', '205', '259', '119', '122', '374', '64', '267', '38', '393', '231', '380', '172', '386', '57', '124', '218', '14', '35', '378']
['377', '54', '266', '238', '40', '190', '58', '9', '272', '291', '21', '195', '31', '32', '343', '319', '128', '10', '155', '151', '364', '390', '295', '159', '111']
['33', '331', '244', '385', '84', '135', '333', '41', '252', '39', '324', '15', '81', '131', '143', '164', '6', '382', '130', '149', '156', '65', '48', '140', '360']
['154', '13', '146', '314', '284', '226', '196', '262', '112', '179', '249', '278', '246', '240', '232', '61', '193', '197', '209', '229', '74', '52', '383', '75', '77']
['241', '269', '24', '17', '212', '297', '79', '230', '388', '137', '306', '307', '4', '71', '108', '167', '399', '7', '279', '271', '214', '303', '250', '150', '185']
['308', '242', '265', '101', '1', '45', '335', '260', '148', '176', '187', '356', '202', '110', '100', '46', '225', '152', '199', '97', '217', '104', '66', '73', '115']
['222', '91', '375', '346', '288', '153', '78', '353', '381', '76', '348', '109', '255', '224', '219', '89', '292', '299', '233', '121', '300', '325', '8', '293', '51']
