['58', '277', '481', '442', '201', '171', '196']
['420', '97', '197', '34', '133', '471', '385']
['211', '194', '198', '2', '190', '195', '203']
['32', '193', '83', '212', '346', '464', '261']
['5', '256', '100', '253', '251', '255', '245']
['11', '292', '217', '439', '160', '291', '288']
['338', '168', '28', '460', '339', '115', '71']
['353', '199', '352', '121', '14', '35', '86']
['368', '450', '480', '376', '399', '452', '440']
['52', '146', '124', '144', '51', '0', '148']
['433', '328', '179', '66', '68', '23', '158']
['432', '426', '428', '431', '367', '424', '425']
['64', '398', '474', '232', '4', '449', '18']
['461', '172', '98', '243', '360', '215', '39']
['218', '45', '335', '388', '310', '311', '429']
['304', '206', '13', '302', '421', '300', '77']
['3', '220', '17', '223', '221', '224', '44']
['436', '208', '61', '151', '393', '260', '262']
['84', '348', '419', '283', '33', '114', '10']
['414', '387', '453', '476', '369', '374', '402']
['301', '228', '483', '163', '226', '89', '230']
['157', '143', '207', '167', '435', '142', '239']
['410', '210', '237', '202', '234', '73', '430']
['320', '135', '321', '19', '54', '258', '6']
['482', '37', '289', '356', '377', '403', '92']
['270', '74', '109', '21', '137', '325', '466']
['9', '93', '279', '281', '278', '111', '280']
['313', '149', '178', '384', '65', '257', '127']
['488', '205', '76', '447', '418', '266', '438']
['108', '8', '159', '358', '165', '271', '347']
['351', '241', '96', '448', '334', '134', '306']
['485', '379', '405', '162', '443', '400', '130']
['434', '182', '216', '308', '390', '479', '286']
['272', '209', '48', '469', '170', '42', '139']
['355', '69', '36', '91', '110', '275', '354']
['446', '287', '359', '477', '389', '451', '141']
['404', '187', '284', '263', '185', '458', '246']
['264', '322', '323', '415', '136', '20', '55']
['459', '125', '361', '70', '242', '183', '105']
['484', '101', '333', '378', '254', '371', '406']
['324', '381', '416', '113', '444', '56', '153']
['15', '486', '312', '309', '236', '147', '50']
['24', '164', '330', '331', '67', '90', '219']
['363', '259', '299', '181', '120', '305', '240']
['22', '326', '57', '327', '276', '106', '138']
['227', '470', '274', '192', '26', '252', '99']
['140', '467', '166', '250', '423', '200', '43']
['225', '119', '396', '88', '454', '317', '78']
['176', '63', '290', '337', '456', '349', '273']
['298', '12', '296', '295', '40', '297', '118']
['214', '112', '409', '437', '128', '186', '332']
['213', '95', '184', '152', '85', '407', '145']
['370', '375', '383', '422', '411', '417', '366']
['487', '380', '268', '189', '107', '7', '401']
['344', '31', '102', '59', '82', '247', '345']
['87', '129', '267', '235', '475', '75', '204']
['372', '457', '472', '427', '392', '394', '412']
['249', '364', '122', '104', '365', '41', '307']
['465', '248', '395', '47', '126', '173', '478']
['155', '285', '391', '468', '382', '265', '191']
['117', '294', '29', '340', '341', '169', '72']
['350', '53', '38', '131', '150', '318', '231']
['441', '413', '229', '386', '188', '473', '373']
['49', '282', '336', '445', '27', '60']
['222', '269', '408', '314', '455', '180', '329']
['177', '62', '156', '175', '1', '25', '174']
['315', '132', '16', '319', '79', '103', '362']
['357', '154', '293', '116', '462', '123', '46']
['161', '303', '238', '244', '80', '94', '316']
['30', '343', '81', '233', '342', '397', '463']
