['206', '62', '292', '3', '381', '249', '29', '229', '212', '164', '150', '201', '240', '273', '295', '254', '173', '44', '126', '46']
['338', '379', '225', '213', '269', '97', '69', '192', '157', '376', '287', '323', '233', '27', '399', '14', '371', '329', '280', '171']
['60', '58', '285', '11', '184', '102', '61', '53', '268', '210', '197', '122', '17', '383', '189', '1', '331', '263', '43', '322']
['117', '222', '15', '217', '241', '30', '19', '386', '160', '6', '207', '221', '167', '10', '138', '185', '170', '165', '20', '147']
['211', '87', '95', '205', '9', '328', '187', '182', '101', '36', '93', '236', '100', '128', '140', '92', '261', '252', '275', '361']
['49', '31', '232', '351', '42', '85', '364', '193', '198', '293', '166', '113', '114', '134', '75', '174', '260', '94', '305', '367']
['294', '274', '384', '315', '321', '209', '223', '188', '394', '238', '396', '309', '91', '397', '110', '335', '339', '191', '130', '162']
['304', '259', '78', '135', '161', '132', '272', '299', '391', '342', '291', '47', '26', '7', '279', '169', '360', '215', '327', '362']
['313', '154', '363', '380', '63', '301', '352', '143', '105', '54', '358', '318', '218', '88', '163', '116', '80', '4', '71', '141']
['368', '347', '112', '178', '12', '296', '8', '333', '175', '281', '266', '234', '45', '103', '388', '224', '345', '204', '127', '196']
['277', '298', '350', '96', '59', '216', '290', '194', '348', '83', '302', '107', '243', '341', '382', '310', '90', '139', '271', '392']
['357', '176', '37', '199', '172', '81', '38', '24', '355', '256', '319', '66', '98', '312', '144', '231', '288', '111', '307', '89']
['155', '64', '398', '239', '270', '119', '125', '377', '349', '253', '340', '378', '283', '226', '48', '316', '317', '311', '246', '115']
['264', '262', '227', '168', '28', '326', '370', '76', '314', '65', '353', '133', '375', '181', '393', '190', '35', '86', '325', '366']
['320', '22', '108', '289', '34', '282', '151', '13', '250', '337', '40', '297', '25', '334', '51', '354', '186', '158', '123', '99']
['214', '152', '208', '32', '387', '200', '77', '330', '258', '247', '121', '365', '251', '120', '265', '203', '369', '219', '389', '230']
['286', '177', '129', '156', '267', '235', '356', '52', '131', '202', '73', '346', '72', '255', '242', '180', '137', '118', '0', '55']
['303', '324', '245', '195', '308', '237', '16', '390', '104', '33', '248', '359', '70', '148', '284', '276', '136', '106', '142', '39']
['344', '84', '372', '149', '220', '228', '343', '159', '57', '124', '21', '18', '373', '68', '23', '257', '306', '153', '332', '385']
['5', '336', '179', '82', '74', '146', '300', '395', '109', '41', '67', '56', '2', '244', '79', '374', '278', '145', '183', '50']
