['58', '474', '380', '234', '464', '80', '345', '92', '424', '425']
['96', '352', '164', '283', '68', '494', '316', '203', '77', '429']
['102', '30', '396', '93', '416', '378', '431', '157', '89', '332']
['154', '232', '404', '76', '486', '249', '315', '36', '35', '347']
['117', '274', '176', '321', '198', '74', '319', '2', '56', '71']
['156', '161', '98', '373', '443', '428', '369', '288', '51', '261']
['213', '350', '292', '405', '498', '27', '371', '335', '389', '367']
['420', '228', '24', '192', '252', '7', '475', '140', '186', '440']
['5', '15', '62', '284', '131', '189', '358', '103', '311', '305']
['484', '434', '408', '175', '134', '365', '477', '43', '44', '183']
['326', '129', '37', '355', '237', '229', '393', '455', '265', '402']
['84', '324', '269', '282', '300', '110', '73', '79', '127', '417']
['338', '49', '304', '487', '206', '63', '16', '185', '167', '10']
['351', '353', '499', '432', '163', '444', '75', '195', '279', '145']
['488', '95', '205', '409', '268', '197', '445', '83', '397', '174']
['294', '481', '410', '333', '54', '330', '318', '173', '462', '471']
['482', '28', '151', '447', '100', '66', '120', '191', '219', '141']
['384', '356', '270', '387', '233', '207', '334', '45', '382', '139']
['260', '457', '401', '133', '386', '67', '454', '165', '307', '126']
['313', '64', '225', '377', '19', '453', '383', '489', '142', '50']
['368', '208', '496', '349', '128', '57', '476', '346', '276', '105']
['155', '220', '193', '303', '309', '17', '293', '212', '339', '361']
['450', '32', '441', '492', '460', '82', '226', '280', '123', '18']
['9', '177', '298', '433', '149', '210', '101', '456', '224', '115']
['398', '97', '497', '181', '394', '423', '297', '88', '245', '374']
['437', '29', '125', '376', '258', '248', '421', '107', '458', '438']
['285', '363', '199', '448', '13', '221', '14', '204', '147', '99']
['370', '267', '38', '348', '375', '166', '391', '144', '286', '60']
['379', '152', '217', '119', '418', '104', '266', '124', '20', '55']
['485', '122', '272', '202', '223', '253', '422', '114', '170', '138']
['168', '65', '427', '407', '468', '395', '452', '0', '158', '466']
['344', '320', '222', '3', '419', '21', '491', '400', '72', '196']
['277', '11', '172', '287', '236', '331', '200', '86', '94', '478']
['31', '85', '81', '8', '91', '1', '143', '116', '180', '153']
['461', '194', '239', '411', '201', '113', '257', '360', '325', '436']
['357', '106', '392', '271', '399', '137', '451', '435', '240', '230']
['381', '160', '295', '278', '388', '244', '255', '317', '430', '412']
['372', '178', '130', '473', '247', '243', '246', '4', '449', '385']
['241', '53', '337', '413', '291', '190', '90', '329', '78', '362']
['211', '264', '262', '184', '336', '296', '41', '25', '159', '39']
['470', '328', '179', '465', '403', '150', '26', '169', '148', '354']
['135', '364', '162', '479', '342', '6', '121', '406', '263', '446']
['414', '34', '459', '109', '251', '218', '341', '306', '327', '171']
['61', '290', '108', '59', '490', '439', '340', '469', '111', '463']
['483', '390', '52', '209', '299', '302', '308', '146', '42', '46']
['214', '69', '235', '442', '187', '472', '323', '254', '242', '275']
['310', '301', '289', '343', '132', '188', '256', '47', '136', '366']
['259', '480', '182', '467', '281', '33', '359', '40', '495', '426']
['227', '112', '216', '312', '238', '118', '415', '215', '322', '273']
['87', '22', '12', '314', '250', '70', '493', '48', '231', '23']
