['357', '206', '269', '441', '37', '13', '475', '371', '153', '447', '109', '400', '219', '280', '95', '83', '330', '113', '10', '155', '172', '392']
['338', '328', '478', '431', '350', '294', '353', '419', '21', '260', '89', '64', '298', '267', '231', '92', '183', '232', '34', '35', '180', '77']
['414', '444', '123', '9', '433', '96', '373', '255', '137', '451', '99', '448', '187', '125', '7', '225', '336', '364', '296', '65', '312', '390']
['154', '11', '370', '129', '69', '337', '438', '103', '417', '471', '84', '205', '457', '235', '262', '164', '332', '470', '193', '359', '107', '94']
['461', '331', '120', '203', '86', '385', '348', '429', '344', '379', '62', '380', '427', '209', '256', '253', '234', '114', '142', '415', '263', '20']
['321', '24', '33', '297', '174', '459', '101', '323', '452', '289', '38', '198', '233', '279', '401', '130', '158', '355', '53', '476', '80', '60']
['482', '241', '166', '423', '453', '42', '148', '329', '147', '145', '31', '12', '162', '426', '261', '208', '383', '66', '47', '51', '200', '18']
['287', '302', '27', '134', '345', '78', '474', '439', '316', '324', '15', '292', '408', '445', '432', '349', '399', '246', '271', '250', '74', '139']
['5', '17', '346', '366', '284', '464', '45', '144', '245', '170', '112', '343', '143', '121', '402', '300', '424', '197', '386', '418', '136', '111']
['434', '410', '308', '403', '175', '212', '458', '243', '363', '259', '135', '270', '468', '283', '90', '462', '252', '210', '128', '50', '199', '218']
['285', '375', '238', '477', '44', '351', '428', '41', '436', '202', '181', '454', '435', '463', '117', '304', '442', '394', '378', '455', '48', '126']
['93', '247', '79', '288', '191', '404', '2', '397', '4', '319', '254', '322', '46', '227', '217', '315', '303', '85', '104', '340', '14', '140']
['133', '91', '98', '369', '204', '352', '291', '473', '163', '6', '251', '70', '449', '273', '354', '49', '52', '19', '229', '75', '257', '360']
['290', '339', '173', '157', '215', '43', '420', '456', '122', '333', '479', '372', '192', '325', '240', '275', '149', '97', '151', '73', '124', '367']
['409', '377', '16', '416', '244', '466', '22', '314', '460', '160', '388', '23', '305', '430', '32', '326', '258', '167', '138', '295', '327', '446']
['320', '40', '440', '1', '189', '224', '286', '313', '176', '220', '223', '131', '110', '67', '26', '443', '127', '480', '391', '421', '57', '115']
['277', '282', '146', '272', '195', '311', '307', '55', '39', '268', '81', '188', '299', '393', '382', '317', '293', '82', '342', '150', '248', '358']
['405', '265', '347', '230', '228', '376', '407', '411', '335', '106', '483', '213', '450', '179', '100', '341', '169', '368', '214', '61', '207', '165']
['36', '54', '266', '190', '88', '276', '389', '58', '274', '413', '237', '467', '201', '226', '469', '310', '374', '196', '356', '168', '481', '105']
['56', '242', '3', '398', '472', '116', '171', '264', '87', '59', '30', '437', '396', '221', '334', '278', '239', '361', '395', '185', '159', '412']
['177', '28', '182', '25', '186', '362', '178', '301', '76', '216', '387', '422', '108', '406', '118', '425', '152', '132', '29', '8', '281', '68']
['222', '194', '309', '141', '102', '381', '119', '306', '71', '63', '249', '72', '211', '184', '156', '161', '465', '384', '236', '318', '365', '0']
