['350', '62', '372', '292', '355', '8', '52', '256', '164', '283', '359', '248', '257', '103', '276', '245', '153', '94', '20', '325']
['177', '222', '274', '268', '193', '405', '403', '119', '308', '201', '21', '185', '438', '310', '165', '204', '78', '449', '240', '99']
['357', '102', '380', '97', '61', '122', '439', '497', '293', '128', '393', '496', '47', '221', '40', '146', '89', '300', '186', '327']
['420', '338', '227', '298', '370', '409', '228', '328', '326', '348', '272', '98', '319', '70', '295', '291', '16', '239', '71', '50']
['487', '344', '152', '450', '269', '65', '456', '82', '275', '476', '17', '73', '67', '255', '51', '173', '462', '252', '171', '385']
['9', '64', '168', '217', '96', '343', '387', '465', '434', '453', '151', '230', '238', '495', '278', '116', '371', '339', '329', '105']
['381', '194', '375', '74', '345', '54', '411', '125', '66', '444', '397', '144', '23', '323', '159', '111', '170', '44', '429', '18']
['211', '49', '22', '485', '28', '459', '337', '192', '490', '81', '150', '464', '79', '452', '200', '203', '169', '130', '440', '46']
['470', '129', '37', '176', '13', '356', '216', '309', '235', '321', '24', '410', '207', '218', '134', '254', '68', '120', '147', '466']
['304', '482', '135', '290', '312', '396', '188', '143', '236', '391', '416', '373', '35', '382', '191', '260', '60', '39', '126', '436']
['488', '379', '474', '178', '42', '249', '29', '85', '133', '223', '181', '447', '63', '57', '297', '26', '317', '286', '43', '322']
['294', '149', '282', '390', '237', '383', '302', '479', '361', '367', '331', '142', '88', '48', '468', '311', '92', '55', '196', '446']
['155', '15', '481', '90', '408', '480', '413', '266', '113', '421', '6', '426', '244', '180', '137', '86', '360', '215', '362', '471']
['368', '3', '351', '31', '32', '461', '161', '303', '296', '492', '489', '109', '114', '14', '27', '455', '401', '463', '183', '262']
['313', '324', '288', '199', '76', '179', '284', '19', '386', '198', '253', '395', '428', '369', '80', '400', '406', '139', '138', '141']
['277', '320', '441', '499', '442', '392', '36', '287', '418', '498', '340', '121', '234', '318', '195', '305', '145', '4', '417', '412']
['117', '69', '486', '427', '364', '209', '131', '166', '342', '33', '419', '402', '443', '190', '118', '388', '246', '157', '77', '0']
['206', '184', '205', '484', '30', '363', '285', '11', '472', '445', '1', '378', '163', '341', '335', '10', '493', '56', '451', '158']
['58', '414', '95', '5', '156', '53', '34', '197', '467', '229', '212', '258', '247', '491', '75', '231', '389', '279', '263', '332']
['225', '457', '108', '437', '182', '394', '423', '376', '110', '83', '473', '346', '334', '475', '72', '140', '106', '127', '219', '316']
['478', '241', '433', '353', '289', '314', '210', '315', '250', '189', '407', '41', '251', '167', '226', '243', '123', '431', '424', '354']
['87', '154', '259', '112', '352', '270', '333', '202', '422', '2', '358', '366', '458', '25', '330', '469', '273', '307', '115', '483']
['220', '59', '301', '172', '93', '91', '432', '281', '107', '399', '7', '430', '174', '242', '374', '280', '271', '261', '347', '425']
['214', '232', '404', '267', '336', '12', '377', '148', '460', '175', '233', '100', '187', '38', '365', '477', '415', '136', '306', '435']
['264', '213', '84', '398', '208', '448', '384', '132', '162', '101', '299', '160', '104', '349', '124', '454', '45', '494', '265', '224']
