['344', '304', '154', '3', '380', '269', '122', '146', '393', '21', '79', '7', '75', '45', '42', '305', '20', '78', '115', '39']
['222', '208', '217', '12', '135', '34', '132', '293', '229', '233', '164', '1', '247', '134', '10', '169', '127', '147', '126', '18']
['259', '326', '53', '24', '81', '296', '237', '281', '189', '221', '346', '123', '80', '159', '111', '173', '60', '118', '196', '361']
['368', '87', '58', '84', '292', '32', '387', '65', '29', '348', '82', '200', '352', '70', '57', '185', '51', '306', '204', '252']
['193', '205', '102', '149', '85', '161', '162', '197', '91', '181', '125', '128', '358', '66', '67', '202', '89', '140', '4', '55']
['351', '398', '15', '112', '90', '30', '101', '69', '152', '272', '17', '98', '312', '223', '395', '77', '165', '216', '44', '141']
['33', '95', '176', '8', '250', '212', '234', '339', '373', '27', '226', '14', '48', '88', '174', '244', '73', '278', '145', '72']
['177', '213', '5', '220', '108', '187', '179', '13', '99', '199', '297', '124', '142', '47', '170', '137', '148', '186', '171', '50']
['9', '11', '22', '298', '274', '328', '19', '16', '375', '6', '2', '251', '341', '382', '23', '389', '0', '239', '275', '262']
['264', '117', '294', '241', '97', '37', '106', '384', '308', '52', '150', '302', '248', '121', '116', '40', '224', '260', '219', '362']
['211', '61', '194', '301', '182', '343', '119', '93', '287', '109', '295', '282', '191', '334', '144', '265', '41', '86', '316', '105']
['31', '184', '28', '381', '156', '321', '355', '178', '336', '315', '74', '104', '378', '367', '218', '56', '369', '136', '300', '325']
['43', '227', '49', '285', '96', '129', '396', '100', '207', '397', '190', '243', '231', '310', '317', '354', '329', '130', '392', '366']
['168', '232', '59', '364', '38', '209', '309', '151', '333', '283', '113', '201', '340', '399', '349', '371', '323', '94', '299', '332']
['313', '155', '286', '372', '172', '131', '188', '256', '263', '253', '318', '365', '26', '114', '386', '107', '311', '246', '347', '46']
['350', '206', '261', '370', '76', '139', '249', '210', '303', '36', '192', '236', '258', '25', '163', '120', '158', '157', '215', '327']
['338', '277', '379', '324', '267', '314', '289', '133', '257', '376', '160', '110', '255', '180', '195', '345', '307', '271', '280', '230']
['64', '363', '62', '337', '390', '166', '83', '240', '342', '359', '167', '319', '394', '276', '242', '68', '279', '92', '138', '71']
['214', '320', '225', '353', '228', '268', '198', '175', '54', '383', '143', '331', '35', '388', '335', '288', '374', '153', '322', '183']
['357', '63', '290', '235', '284', '270', '356', '377', '391', '291', '330', '266', '238', '273', '254', '103', '245', '203', '360', '385']
