['338', '206', '205', '220', '69', '281', '131', '146', '2', '113', '287', '121', '190', '226', '6', '144', '116', '137', '252', '347']
['155', '225', '324', '292', '84', '380', '187', '282', '269', '384', '299', '16', '323', '234', '167', '74', '56', '180', '41', '44']
['357', '117', '298', '184', '294', '129', '37', '53', '63', '312', '36', '394', '110', '316', '67', '371', '265', '311', '138', '39']
['64', '11', '350', '193', '151', '237', '200', '17', '233', '330', '378', '73', '107', '258', '100', '98', '159', '246', '145', '275']
['379', '241', '343', '352', '93', '209', '1', '291', '391', '122', '263', '375', '399', '349', '389', '139', '157', '78', '322', '385']
['304', '222', '154', '95', '135', '314', '179', '361', '266', '395', '201', '57', '26', '45', '75', '247', '51', '393', '55', '230']
['58', '87', '149', '59', '188', '189', '202', '88', '118', '7', '68', '243', '89', '106', '286', '20', '186', '367', '126', '369']
['320', '31', '102', '232', '112', '328', '387', '132', '308', '24', '104', '66', '18', '332', '345', '307', '148', '169', '0', '99']
['368', '15', '176', '97', '194', '197', '29', '270', '272', '356', '32', '109', '295', '207', '35', '120', '310', '43', '72', '262']
['211', '250', '351', '363', '267', '377', '348', '223', '143', '229', '175', '358', '40', '329', '218', '27', '103', '191', '260', '127']
['344', '313', '96', '30', '317', '210', '284', '390', '52', '101', '376', '342', '181', '12', '301', '47', '79', '339', '306', '111']
['264', '177', '49', '227', '259', '370', '61', '178', '268', '81', '296', '309', '199', '54', '236', '359', '213', '94', '142', '327']
['9', '168', '140', '108', '228', '34', '192', '172', '65', '125', '251', '346', '255', '174', '288', '165', '244', '4', '239', '123']
['398', '76', '290', '235', '386', '293', '333', '283', '21', '124', '221', '163', '341', '10', '70', '164', '318', '219', '158', '105']
['372', '274', '326', '183', '249', '195', '153', '319', '300', '248', '388', '23', '335', '42', '242', '382', '92', '60', '77', '196']
['71', '3', '152', '245', '13', '162', '82', '166', '302', '80', '185', '170', '365', '114', '334', '276', '231', '136', '362', '366']
['214', '285', '5', '28', '353', '141', '355', '85', '354', '383', '212', '150', '297', '278', '254', '257', '173', '261', '171', '273']
['46', '208', '217', '321', '364', '133', '19', '160', '396', '128', '340', '134', '48', '374', '86', '305', '271', '215', '115', '50']
['62', '156', '90', '315', '337', '161', '198', '91', '83', '130', '373', '25', '331', '14', '203', '279', '360', '280', '325', '392']
['277', '22', '381', '216', '182', '289', '38', '8', '119', '256', '303', '33', '238', '253', '397', '336', '224', '204', '147', '240']
