['294', '480', '400', '69', '377', '91', '83', '468', '70', '391', '493', '325', '144', '51', '42', '204', '263', '329', '219', '316']
['225', '336', '314', '437', '198', '413', '160', '407', '150', '253', '297', '218', '121', '202', '415', '339', '165', '139', '0', '171']
['420', '154', '205', '95', '474', '11', '343', '321', '472', '467', '82', '279', '479', '66', '247', '106', '271', '367', '478', '446']
['87', '206', '112', '194', '434', '352', '356', '403', '250', '418', '378', '185', '340', '243', '254', '68', '221', '224', '186', '429']
['117', '363', '140', '28', '179', '119', '236', '323', '201', '73', '47', '491', '494', '89', '306', '174', '215', '252', '71', '262']
['49', '462', '152', '461', '381', '289', '187', '465', '442', '333', '105', '33', '113', '373', '464', '428', '454', '92', '72', '361']
['320', '277', '324', '292', '441', '409', '46', '410', '151', '176', '372', '200', '291', '295', '421', '90', '153', '169', '322', '483']
['241', '96', '63', '172', '337', '405', '348', '497', '54', '98', '189', '395', '346', '477', '335', '242', '195', '463', '60', '126']
['211', '184', '32', '384', '312', '396', '453', '234', '471', '2', '27', '244', '245', '374', '111', '86', '305', '158', '362', '366']
['379', '380', '208', '108', '61', '317', '99', '239', '133', '272', '212', '376', '455', '145', '369', '431', '300', '130', '138', '273']
['485', '351', '326', '268', '267', '223', '432', '188', '473', '330', '287', '458', '114', '426', '20', '191', '311', '148', '280', '77']
['84', '15', '178', '290', '197', '282', '8', '422', '423', '476', '110', '416', '124', '25', '278', '310', '451', '402', '55', '354']
['298', '5', '285', '370', '387', '192', '364', '257', '281', '490', '296', '489', '358', '342', '397', '475', '388', '23', '80', '440']
['487', '155', '64', '22', '129', '355', '228', '193', '249', '456', '182', '299', '492', '496', '128', '443', '444', '35', '288', '4']
['177', '168', '62', '484', '37', '459', '237', '375', '19', '411', '251', '57', '190', '255', '48', '452', '327', '94', '44', '347']
['213', '222', '227', '235', '52', '229', '143', '157', '266', '207', '109', '331', '399', '469', '265', '203', '435', '430', '115', '275']
['214', '232', '149', '457', '30', '53', '210', '81', '135', '122', '256', '233', '319', '167', '10', '371', '276', '401', '466', '412']
['357', '436', '3', '488', '448', '13', '162', '209', '293', '181', '419', '166', '447', '134', '142', '163', '75', '389', '360', '332']
['344', '414', '350', '199', '404', '216', '101', '50', '460', '131', '175', '498', '283', '495', '16', '394', '246', '127', '39', '425']
['9', '482', '353', '156', '303', '308', '93', '17', '1', '349', '100', '6', '21', '258', '14', '125', '170', '136', '406', '392']
['313', '43', '328', '76', '499', '161', '427', '486', '24', '439', '274', '238', '359', '107', '26', '56', '231', '173', '261', '424']
['433', '259', '217', '59', '97', '284', '65', '36', '383', '74', '164', '41', '67', '226', '438', '103', '137', '449', '123', '18']
['338', '398', '141', '220', '12', '301', '269', '85', '390', '445', '393', '248', '116', '79', '7', '382', '307', '260', '147', '230']
['368', '304', '264', '102', '470', '315', '386', '159', '146', '302', '40', '341', '45', '417', '120', '345', '286', '118', '196', '385']
['58', '31', '450', '481', '183', '408', '34', '29', '38', '270', '132', '309', '104', '318', '365', '334', '88', '180', '78', '240']
