['269', '309', '238', '153', '215', '440', '433', '419', '264', '12', '210', '38', '432', '113', '300', '361', '184', '484', '29', '342', '114', '140', '20']
['5', '370', '175', '331', '346', '444', '191', '259', '2', '473', '428', '41', '148', '31', '192', '26', '470', '315', '8', '82', '57', '124', '218']
['285', '28', '54', '301', '459', '422', '447', '39', '112', '289', '445', '83', '100', '341', '275', '273', '425', '49', '390', '421', '455', '263', '360']
['129', '337', '438', '120', '478', '9', '228', '439', '469', '310', '30', '437', '162', '143', '169', '138', '50', '442', '336', '256', '253', '115', '446']
['320', '461', '93', '190', '173', '385', '363', '472', '323', '109', '163', '397', '452', '311', '286', '176', '181', '382', '240', '304', '250', '207', '318']
['389', '203', '102', '381', '456', '348', '453', '376', '467', '329', '430', '99', '15', '326', '343', '167', '121', '317', '92', '480', '132', '19', '111']
['69', '282', '423', '266', '25', '417', '431', '160', '468', '316', '396', '164', '330', '435', '183', '227', '156', '172', '394', '47', '14', '80', '77']
['328', '123', '58', '96', '237', '407', '283', '464', '106', '307', '305', '252', '147', '450', '32', '268', '299', '246', '118', '322', '46', '97', '378']
['410', '36', '166', '265', '288', '466', '420', '351', '1', '116', '224', '89', '95', '298', '221', '279', '402', '380', '386', '185', '142', '392', '105']
['434', '40', '297', '243', '56', '88', '244', '477', '216', '306', '55', '454', '463', '168', '208', '161', '296', '312', '236', '150', '395', '68', '136']
['338', '222', '482', '24', '416', '369', '352', '413', '460', '201', '335', '42', '448', '179', '356', '131', '233', '258', '10', '325', '225', '152', '107']
['357', '154', '37', '146', '33', '27', '458', '43', '205', '21', '373', '374', '462', '313', '87', '187', '110', '278', '67', '401', '232', '384', '209']
['241', '308', '302', '345', '44', '84', '272', '333', '145', '280', '267', '198', '319', '130', '149', '193', '65', '52', '391', '104', '234', '257', '165']
['134', '475', '276', '174', '86', '204', '230', '474', '101', '235', '245', '262', '213', '292', '59', '426', '406', '281', '340', '359', '415', '48', '126']
['177', '11', '441', '194', '133', '314', '122', '144', '260', '483', '408', '70', '251', '449', '368', '379', '155', '62', '34', '151', '73', '159', '327']
['405', '377', '287', '103', '347', '274', '76', '135', '457', '45', '4', '64', '125', '393', '424', '217', '61', '197', '229', '418', '66', '476', '51']
['277', '247', '79', '371', '339', '157', '284', '411', '255', '23', '195', '324', '63', '108', '81', '6', '334', '117', '199', '85', '364', '358', '248']
['414', '17', '98', '212', '141', '366', '3', '398', '350', '270', '137', '90', '7', '72', '158', '344', '214', '53', '295', '75', '94', '60', '367']
['206', '403', '375', '91', '78', '353', '178', '189', '479', '400', '451', '429', '220', '349', '254', '261', '354', '481', '74', '365', '180', '412', '18']
['290', '321', '182', '13', '16', '471', '22', '387', '119', '291', '226', '388', '170', '219', '71', '249', '223', '202', '399', '231', '303', '427', '139']
['485', '211', '372', '404', '355', '409', '465', '271', '383', '293', '362', '188', '171', '35', '242', '332', '127', '186', '239', '196', '436']
['200', '443', '294', '128']
