['709', '988', '952', '552', '3', '205', '560', '336', '853', '282', '36', '928', '739', '128', '491', '455', '435', '919', '665', '446']
['704', '544', '484', '96', '991', '61', '179', '850', '884', '256', '281', '898', '121', '515', '556', '494', '345', '311', '893', '881']
['214', '833', '294', '149', '876', '816', '183', '977', '272', '74', '509', '889', '426', '967', '504', '382', '597', '260', '574', '745']
['58', '320', '891', '433', '357', '783', '979', '737', '296', '956', '711', '104', '415', '180', '684', '762', '103', '925', '946', '551']
['441', '217', '811', '492', '38', '453', '545', '589', '418', '473', '138', '940', '858', '118', '729', '335', '42', '286', '904', '275']
['420', '222', '324', '647', '571', '714', '93', '159', '233', '530', '636', '114', '334', '743', '339', '120', '885', '998', '513', '240']
['117', '414', '84', '461', '718', '723', '554', '394', '780', '21', '695', '561', '929', '297', '231', '751', '506', '804', '462', '385']
['968', '412', '548', '797', '805', '76', '442', '457', '746', '786', '221', '605', '691', '7', '137', '451', '731', '325', '999', '366']
['610', '549', '235', '992', '900', '209', '175', '523', '2', '330', '190', '598', '242', '80', '985', '106', '271', '522', '790', '809']
['485', '713', '353', '408', '486', '703', '249', '230', '708', '416', '609', '671', '493', '388', '557', '692', '157', '215', '115', '639']
['304', '269', '176', '730', '696', '643', '13', '187', '640', '631', '807', '340', '771', '942', '772', '808', '547', '581', '171', '594']
['344', '518', '663', '655', '722', '284', '34', '830', '725', '820', '131', '672', '960', '758', '189', '694', '615', '306', '263', '280']
['689', '64', '350', '572', '735', '641', '917', '871', '507', '160', '761', '813', '92', '938', '302', '371', '568', '621', '687', '147']
['774', '11', '398', '298', '425', '815', '953', '65', '135', '472', '314', '755', '789', '787', '27', '254', '955', '832', '44', '660']
['624', '62', '140', '481', '750', '754', '24', '223', '899', '283', '682', '766', '14', '650', '903', '537', '764', '142', '367', '99']
['264', '983', '232', '480', '907', '954', '532', '913', '333', '500', '959', '476', '736', '868', '226', '577', '927', '4', '392', '838']
['812', '757', '550', '565', '292', '112', '656', '734', '328', '502', '912', '720', '599', '248', '759', '531', '825', '882', '239', '39']
['856', '923', '831', '377', '309', '125', '146', '150', '726', '113', '700', '727', '939', '826', '75', '265', '628', '438', '329', '683']
['9', '767', '819', '538', '85', '768', '315', '82', '181', '57', '495', '749', '444', '378', '626', '273', '823', '148', '43', '947']
['351', '525', '274', '434', '405', '437', '765', '19', '229', '966', '528', '295', '331', '464', '877', '10', '642', '738', '224', '18']
['958', '5', '897', '635', '510', '413', '803', '162', '559', '266', '782', '986', '369', '244', '153', '873', '130', '55', '706', '793']
['961', '102', '241', '197', '270', '870', '973', '164', '253', '933', '319', '94', '847', '895', '23', '51', '583', '843', '584', '252']
['533', '206', '168', '546', '741', '926', '343', '81', '785', '133', '580', '570', '479', '8', '849', '475', '279', '945', '834', '50']
['488', '225', '482', '824', '659', '675', '863', '779', '390', '622', '423', '293', '406', '716', '469', '374', '578', '20', '389', '906']
['997', '220', '355', '69', '301', '356', '690', '490', '710', '98', '827', '666', '458', '712', '866', '542', '756', '630', '555', '931']
['707', '587', '448', '193', '894', '257', '122', '921', '828', '471', '247', '67', '662', '477', '627', '585', '669', '127', '932', '859']
['941', '12', '384', '348', '521', '432', '109', '623', '234', '376', '134', '620', '679', '144', '323', '468', '677', '204', '430', '604']
['213', '227', '152', '857', '347', '937', '924', '381', '228', '854', '1', '110', '516', '798', '728', '79', '429', '402', '440', '975']
['588', '818', '499', '553', '676', '445', '16', '143', '91', '73', '855', '569', '278', '346', '25', '195', '540', '902', '186', '661']
['697', '869', '177', '370', '199', '132', '312', '352', '593', '575', '652', '349', '769', '972', '949', '905', '892', '86', '111', '327']
['184', '777', '586', '30', '835', '619', '962', '101', '867', '151', '202', '201', '318', '644', '993', '943', '688', '41', '930', '436']
['591', '139', '653', '566', '948', '680', '364', '52', '250', '198', '879', '287', '291', '600', '936', '255', '68', '246', '77', '262']
['338', '634', '836', '685', '590', '649', '888', '460', '733', '651', '612', '341', '503', '428', '909', '200', '632', '400', '360', '78']
['562', '526', '802', '155', '380', '95', '456', '188', '391', '883', '167', '6', '558', '88', '964', '602', '107', '365', '305', '158']
['31', '474', '97', '108', '668', '119', '601', '54', '603', '411', '359', '686', '592', '645', '35', '576', '910', '0', '322', '424']
['996', '862', '208', '646', '409', '563', '978', '564', '806', '498', '207', '124', '116', '514', '417', '191', '920', '169', '611', '875']
['49', '880', '372', '288', '637', '633', '289', '210', '511', '403', '53', '957', '212', '721', '290', '218', '48', '693', '517', '332']
['719', '681', '541', '508', '753', '354', '401', '483', '268', '760', '83', '648', '185', '45', '810', '317', '796', '844', '717', '105']
['363', '607', '981', '321', '439', '299', '407', '33', '393', '449', '596', '163', '397', '539', '527', '821', '784', '219', '740', '606']
['63', '839', '427', '396', '467', '17', '770', '238', '950', '166', '752', '443', '980', '778', '536', '174', '203', '701', '316', '126']
['654', '450', '32', '934', '194', '794', '410', '237', '422', '582', '342', '66', '814', '310', '944', '173', '987', '261', '822', '431']
['487', '837', '989', '791', '614', '156', '543', '520', '496', '505', '775', '100', '965', '40', '984', '452', '846', '358', '501', '307']
['277', '800', '918', '629', '129', '744', '842', '37', '742', '763', '705', '300', '70', '901', '72', '519', '951', '792', '861', '916']
['617', '845', '886', '970', '465', '337', '841', '878', '172', '608', '922', '26', '276', '887', '524', '664', '702', '982', '776', '196']
['379', '28', '781', '178', '161', '829', '788', '573', '497', '236', '911', '258', '512', '47', '657', '638', '795', '974', '89', '46']
['211', '625', '154', '470', '404', '976', '874', '387', '618', '489', '994', '864', '373', '529', '567', '817', '170', '995', '123', '595']
['865', '15', '267', '851', '303', '674', '386', '447', '801', '421', '670', '243', '56', '971', '673', '245', '165', '616', '732', '361']
['535', '87', '22', '259', '326', '699', '724', '459', '914', '216', '748', '799', '667', '990', '136', '658', '463', '60', '362', '935']
['715', '313', '368', '613', '896', '59', '182', '29', '308', '534', '383', '419', '860', '399', '915', '454', '90', '145', '478', '141']
['579', '71', '285', '698', '747', '678', '872', '192', '840', '375', '969', '395', '251', '852', '773', '890', '848', '908', '466', '963']
