['266', '849', '920', '790', '230', '420', '818', '472', '460', '922', '21', '773', '598', '298', '777', '131', '589', '497', '828', '716', '382', '693', '127', '271', '117', '344', '791', '303', '686', '955', '392', '639']
['572', '510', '36', '911', '25', '79', '940', '537', '265', '353', '456', '467', '453', '956', '479', '898', '569', '400', '701', '562', '30', '289', '187', '38', '597', '300', '719', '941', '193', '390', '714', '250']
['139', '308', '512', '772', '485', '869', '633', '474', '827', '723', '291', '264', '958', '326', '685', '592', '581', '449', '361', '273', '275', '156', '82', '256', '889', '951', '365', '542', '756', '94', '0', '660']
['653', '17', '776', '141', '526', '862', '767', '734', '953', '794', '486', '272', '674', '119', '872', '568', '137', '506', '219', '316', '196', '262', '715', '112', '279', '72', '629', '336', '427', '446', '925', '604']
['37', '733', '91', '93', '596', '33', '416', '153', '44', '347', '935', '696', '842', '447', '439', '323', '226', '823', '12', '668', '868', '825', '709', '961', '225', '656', '737', '505', '391', '66', '657', '105']
['338', '508', '405', '651', '903', '174', '242', '335', '615', '224', '808', '99', '176', '779', '571', '705', '299', '164', '799', '443', '399', '691', '712', '717', '891', '614', '622', '386', '359', '620', '80', '140']
['544', '441', '13', '803', '134', '438', '517', '588', '457', '228', '235', '195', '832', '831', '863', '840', '830', '125', '509', '393', '890', '341', '817', '628', '663', '161', '234', '248', '877', '35', '664', '578']
['54', '302', '247', '644', '346', '123', '822', '351', '521', '411', '627', '144', '310', '374', '306', '329', '713', '845', '445', '143', '847', '787', '804', '946', '49', '624', '484', '560', '229', '342', '57', '738']
['707', '914', '403', '423', '721', '801', '120', '843', '20', '834', '237', '760', '1', '430', '932', '343', '718', '396', '888', '221', '621', '916', '706', '470', '97', '573', '52', '928', '150', '826', '743', '360']
['357', '320', '741', '56', '191', '294', '205', '811', '314', '798', '283', '860', '936', '42', '307', '683', '147', '769', '7', '810', '919', '800', '158', '184', '824', '149', '480', '871', '384', '754', '547', '930']
['461', '528', '238', '666', '792', '591', '613', '284', '413', '553', '601', '854', '667', '397', '673', '163', '260', '462', '535', '108', '883', '246', '92', '425', '625', '465', '593', '253', '726', '540', '910', '748']
['635', '894', '924', '337', '913', '543', '502', '623', '40', '444', '440', '745', '385', '362', '274', '672', '612', '727', '731', '31', '820', '319', '609', '645', '934', '183', '563', '725', '567', '632', '159', '263']
['409', '950', '858', '103', '288', '471', '102', '587', '381', '404', '648', '876', '429', '704', '372', '448', '900', '933', '491', '426', '278', '211', '607', '355', '765', '917', '65', '358', '942', '318', '875', '859']
['177', '206', '482', '129', '496', '650', '190', '585', '751', '576', '86', '584', '559', '918', '724', '530', '864', '695', '473', '949', '388', '41', '311', '71', '518', '220', '857', '511', '151', '209', '111', '844']
['856', '952', '546', '948', '375', '770', '682', '866', '204', '802', '806', '884', '700', '759', '602', '702', '286', '267', '758', '100', '46', '617', '774', '168', '744', '839', '295', '421', '75', '905', '136', '514']
['277', '5', '699', '182', '98', '297', '475', '577', '9', '22', '680', '692', '4', '95', '450', '330', '26', '254', '943', '454', '764', '873', '240', '637', '53', '394', '775', '708', '455', '415', '557', '684']
['154', '730', '768', '789', '899', '959', '605', '186', '923', '722', '957', '786', '520', '507', '523', '677', '255', '524', '252', '483', '32', '202', '766', '67', '821', '893', '896', '545', '640', '418', '293', '51']
['290', '829', '580', '377', '500', '529', '887', '157', '574', '366', '552', '301', '122', '160', '711', '855', '452', '90', '15', '626', '662', '740', '322', '595', '757', '538', '132', '281', '901', '669', '142', '525']
['755', '194', '410', '600', '561', '477', '927', '833', '433', '398', '259', '698', '101', '352', '853', '324', '162', '188', '70', '121', '848', '494', '909', '503', '463', '689', '304', '541', '8', '582', '73', '931']
['654', '835', '753', '309', '739', '466', '652', '761', '464', '45', '519', '170', '501', '213', '499', '59', '268', '192', '534', '435', '861', '239', '611', '513', '697', '442', '383', '603', '48', '68', '60', '327']
['28', '282', '77', '489', '146', '749', '732', '43', '947', '634', '880', '216', '270', '495', '688', '555', '171', '681', '865', '63', '937', '647', '590', '570', '233', '539', '138', '61', '296', '114', '784', '367']
['747', '819', '16', '658', '339', '389', '735', '586', '797', '867', '201', '428', '665', '55', '661', '675', '432', '515', '402', '793', '50', '488', '227', '533', '550', '781', '641', '315', '19', '218', '531', '895']
['836', '11', '783', '851', '785', '912', '631', '458', '276', '583', '566', '376', '419', '516', '694', '408', '198', '349', '113', '527', '401', '208', '217', '643', '690', '879', '878', '124', '180', '556', '165', '522']
['241', '328', '954', '434', '838', '24', '874', '287', '807', '371', '203', '417', '788', '189', '468', '373', '670', '106', '64', '356', '746', '231', '904', '424', '332', '152', '380', '679', '938', '107', '608', '606']
