['546', '720', '866', '944', '420', '22', '633', '352', '201', '469', '144', '59', '267', '492', '67', '649', '946', '50', '484', '481', '151', '52', '418', '738', '142']
['458', '906', '947', '767', '119', '695', '464', '668', '131', '787', '986', '382', '317', '401', '127', '435', '859', '624', '8', '726', '620', '540', '327', '975', '838']
['269', '129', '733', '899', '903', '120', '204', '963', '923', '953', '270', '439', '601', '922', '936', '108', '904', '424', '659', '480', '490', '971', '784', '115', '446']
['579', '206', '369', '862', '353', '216', '788', '956', '237', '602', '374', '145', '704', '32', '965', '705', '736', '943', '597', '227', '839', '737', '505', '878', '74']
['482', '646', '548', '290', '813', '297', '134', '998', '174', '882', '842', '486', '1', '672', '255', '148', '865', '187', '820', '994', '515', '916', '678', '315', '412']
['328', '792', '724', '827', '516', '612', '45', '501', '137', '310', '571', '125', '828', '883', '671', '766', '26', '848', '757', '217', '960', '257', '795', '925', '77']
['835', '747', '510', '768', '512', '991', '381', '898', '752', '832', '731', '483', '535', '989', '742', '223', '463', '261', '595', '891', '824', '355', '281', '256', '367']
['543', '375', '935', '833', '205', '474', '875', '715', '845', '746', '393', '443', '231', '796', '425', '774', '117', '533', '573', '465', '209', '82', '679', '111', '608']
['610', '654', '409', '913', '631', '371', '908', '471', '58', '385', '404', '702', '224', '260', '661', '99', '326', '81', '712', '628', '581', '641', '365', '180', '639']
['11', '924', '309', '682', '605', '576', '574', '417', '587', '722', '284', '786', '407', '21', '670', '638', '814', '534', '396', '625', '917', '563', '725', '708', '748']
['653', '502', '789', '423', '600', '190', '288', '517', '834', '750', '163', '727', '90', '506', '982', '713', '647', '181', '847', '128', '744', '229', '582', '640', '0']
['357', '414', '954', '926', '771', '751', '797', '135', '853', '459', '798', '473', '949', '436', '264', '87', '198', '589', '662', '240', '617', '380', '643', '293', '248']
['741', '544', '606', '444', '228', '981', '467', '272', '885', '598', '831', '324', '962', '110', '113', '626', '470', '607', '48', '955', '684', '557', '915', '392', '604']
['836', '17', '56', '103', '86', '141', '101', '493', '860', '808', '565', '448', '179', '192', '554', '691', '399', '169', '232', '690', '395', '340', '556', '669', '999']
