['368', '22', '859', '499', '197', '465', '723', '725', '966', '38', '394', '959', '679', '202', '852', '79', '650', '823', '196', '385']
['526', '862', '3', '976', '779', '502', '870', '157', '631', '247', '444', '464', '519', '971', '452', '630', '772', '142', '999', '105']
['518', '989', '629', '480', '553', '192', '710', '383', '250', '468', '813', '238', '358', '333', '438', '547', '764', '919', '932', '425']
['211', '154', '678', '991', '228', '29', '159', '188', '847', '82', '124', '825', '276', '944', '778', '970', '915', '139', '435', '925']
['881', '262', '544', '470', '387', '992', '900', '492', '829', '143', '769', '476', '712', '388', '585', '406', '946', '832', '123', '46']
['177', '84', '777', '450', '24', '352', '456', '413', '555', '479', '648', '558', '426', '45', '316', '514', '951', '463', '834', '72']
['320', '836', '886', '698', '765', '582', '618', '146', '411', '686', '982', '516', '666', '986', '68', '339', '927', '843', '20', '327']
['264', '624', '261', '482', '750', '63', '42', '37', '590', '447', '283', '561', '855', '318', '967', '515', '317', '974', '305', '219']
['767', '206', '548', '129', '954', '962', '521', '419', '110', '2', '47', '929', '103', '23', '174', '415', '577', '895', '931', '892']
['709', '735', '851', '690', '364', '676', '209', '392', '349', '70', '167', '749', '378', '727', '949', '255', '570', '669', '203', '706']
['880', '149', '953', '742', '830', '237', '376', '109', '603', '921', '759', '458', '729', '782', '597', '576', '307', '731', '367', '436']
['610', '112', '783', '655', '405', '643', '34', '198', '472', '909', '879', '933', '799', '254', '887', '7', '382', '790', '745', '809']
['49', '988', '87', '792', '635', '427', '148', '467', '505', '191', '489', '291', '185', '1', '672', '773', '170', '446', '945', '39']
['617', '338', '398', '176', '811', '93', '272', '589', '807', '258', '766', '121', '163', '688', '120', '693', '137', '583', '271', '874']
['487', '298', '637', '97', '926', '179', '481', '899', '700', '295', '128', '331', '657', '10', '263', '21', '557', '536', '796', '800']
['837', '983', '508', '59', '290', '210', '746', '85', '685', '532', '299', '323', '319', '644', '136', '506', '882', '130', '462', '273']
['277', '4', '184', '818', '32', '30', '924', '522', '768', '343', '608', '207', '677', '340', '695', '955', '92', '43', '466', '696']
['535', '707', '222', '937', '321', '19', '236', '898', '938', '645', '662', '504', '762', '702', '311', '873', '551', '89', '417', '240']
['313', '225', '941', '896', '607', '76', '894', '269', '789', '8', '596', '674', '969', '218', '180', '195', '279', '703', '559', '471']
['757', '802', '869', '370', '587', '871', '737', '763', '408', '212', '302', '828', '500', '373', '529', '397', '542', '527', '204', '329']
['344', '697', '155', '420', '979', '12', '839', '981', '867', '16', '432', '901', '493', '673', '658', '400', '804', '239', '478', '963']
['713', '918', '28', '381', '267', '336', '410', '510', '133', '293', '680', '486', '739', '671', '33', '848', '810', '821', '910', '347']
['58', '961', '734', '699', '182', '785', '977', '122', '422', '91', '409', '512', '950', '297', '507', '56', '75', '0', '215', '44']
['9', '689', '285', '681', '565', '668', '863', '13', '912', '119', '233', '726', '40', '242', '751', '616', '286', '639', '732', '717']
['952', '541', '748', '948', '647', '249', '554', '872', '724', '530', '636', '138', '251', '936', '756', '389', '280', '440', '875', '141']
['774', '833', '997', '546', '641', '53', '619', '65', '803', '36', '125', '884', '445', '187', '428', '494', '265', '90', '127', '838']
['562', '350', '633', '363', '781', '461', '968', '741', '484', '390', '957', '705', '54', '566', '940', '399', '144', '310', '147', '366']
['856', '412', '550', '241', '328', '893', '965', '640', '531', '664', '371', '814', '48', '200', '469', '784', '145', '692', '71', '230']
['214', '857', '353', '108', '384', '794', '423', '6', '248', '57', '334', '866', '495', '116', '743', '306', '578', '246', '186', '115']
['64', '613', '791', '819', '232', '560', '511', '81', '718', '572', '235', '287', '418', '575', '599', '278', '876', '430', '55', '275']
['357', '117', '730', '917', '216', '457', '301', '403', '101', '354', '160', '770', '850', '454', '243', '877', '244', '738', '169', '332']
['102', '646', '220', '797', '733', '439', '758', '386', '234', '545', '849', '860', '620', '335', '539', '795', '598', '588', '77', '360']
