['123', '884', '895', '424', '80']
['630', '258', '194', '887', '273']
['904', '861', '765', '176', '530']
['856', '482', '597', '954', '141']
['94', '594', '263', '915', '563']
['70', '900', '550', '781', '184']
['561', '140', '628', '622', '699']
['978', '343', '613', '199', '289']
['788', '225', '463', '713', '770']
['246', '810', '790', '944', '784']
['636', '785', '503', '876', '959']
['405', '331', '76', '536', '603']
['518', '56', '472', '407', '459']
['282', '925', '936', '727', '999']
['185', '791', '104', '469', '532']
['200', '304', '867', '652', '448']
['24', '320', '862', '152', '773']
['690', '386', '367', '871', '797']
['111', '843', '294', '212', '745']
['186', '739', '961', '223', '51']
['177', '173', '62', '174', '411']
['600', '117', '546', '747', '879']
['627', '930', '372', '183', '361']
['340', '742', '957', '149', '683']
['605', '433', '582', '72', '324']
['962', '913', '243', '522', '815']
['927', '323', '89', '955', '647']
['232', '148', '328', '783', '684']
['420', '153', '731', '229', '566']
['338', '697', '946', '648', '262']
['297', '491', '590', '239', '120']
['942', '676', '620', '642', '548']
['283', '767', '545', '96', '105']
['228', '583', '850', '608', '527']
['579', '121', '91', '236', '798']
['402', '552', '929', '365', '2']
['478', '394', '842', '615', '941']
['326', '933', '329', '513', '392']
['750', '571', '551', '577', '898']
['43', '736', '868', '633', '275']
['573', '611', '878', '32', '454']
['211', '993', '202', '156', '606']
['368', '795', '734', '242', '793']
['421', '796', '824', '715', '41']
['457', '115', '631', '814', '18']
['313', '36', '8', '143', '88']
['799', '818', '428', '412', '471']
['317', '277', '399', '477', '525']
['812', '776', '966', '787', '655']
['86', '534', '190', '979', '706']
['794', '667', '398', '692', '599']
['101', '81', '92', '256', '822']
['145', '38', '848', '831', '811']
['165', '624', '910', '209', '45']
['218', '136', '932', '614', '332']
['137', '67', '967', '281', '592']
['300', '15', '730', '538', '147']
['718', '880', '782', '638', '859']
['487', '244', '480', '233', '330']
['204', '988', '40', '78', '196']
['719', '336', '85', '586', '418']
['857', '296', '422', '440', '883']
['826', '873', '698', '82', '481']
['401', '278', '945', '753', '362']
['314', '554', '309', '189', '69']
['193', '517', '11', '334', '881']
['953', '789', '854', '322', '160']
['410', '49', '637', '488', '369']
['553', '445', '825', '740', '509']
['681', '691', '435', '607', '829']
['841', '693', '19', '474', '801']
['619', '752', '14', '772', '138']
['610', '830', '626', '13', '547']
['659', '728', '444', '593', '629']
['722', '657', '792', '255', '354']
['950', '3', '39', '423', '135']
['214', '22', '596', '54', '894']
['250', '298', '312', '507', '817']
['384', '779', '396', '217', '537']
['562', '618', '508', '771', '66']
['914', '295', '650', '906', '358']
['60', '492', '166', '641', '130']
['172', '763', '645', '458', '813']
['724', '221', '891', '30', '975']
['337', '502', '820', '468', '267']
['695', '920', '52', '585', '446']
['207', '644', '735', '366', '483']
['768', '84', '388', '669', '216']
['853', '379', '974', '903', '479']
['766', '279', '95', '882', '567']
['689', '983', '673', '963', '934']
['235', '413', '565', '439', '601']
['526', '363', '293', '288', '110']
['759', '651', '4', '702', '431']
['643', '609', '414', '922', '635']
['749', '307', '490', '701', '287']
['865', '844', '341', '370', '858']
['64', '919', '107', '98', '893']
['57', '31', '453', '738', '234']
['142', '346', '939', '161', '61']
['285', '505', '404', '71', '656']
['155', '741', '205', '786', '980']
['589', '705', '48', '349', '245']
['351', '685', '83', '921', '897']
['187', '144', '703', '220', '808']
['179', '356', '274', '672', '935']
['389', '318', '133', '687', '937']
['709', '972', '860', '438', '802']
['987', '992', '890', '665', '427']
['132', '870', '845', '995', '146']
['664', '451', '612', '131', '44']
['764', '575', '17', '371', '342']
['864', '533', '912', '222', '836']
['249', '210', '390', '485', '751']
['417', '949', '118', '6', '639']
['42', '134', '461', '55', '851']
['224', '696', '716', '100', '679']
['400', '877', '497', '393', '748']
['139', '778', '441', '998', '99']
