['3', '184', '343', '386', '476', '2', '346', '245', '246', '60']
['404', '289', '383', '160', '378', '136', '42', '51', '130', '240']
['363', '328', '315', '8', '74', '479', '167', '317', '86', '105']
['58', '31', '17', '83', '375', '88', '477', '153', '94', '261']
['355', '162', '377', '166', '468', '330', '73', '331', '247', '417']
['298', '12', '465', '318', '35', '204', '452', '279', '300', '77']
['49', '370', '178', '216', '486', '21', '491', '68', '494', '180']
['379', '290', '472', '448', '198', '33', '421', '134', '67', '103']
['84', '274', '434', '312', '281', '91', '276', '400', '466', '99']
['168', '206', '270', '52', '188', '473', '57', '373', '56', '275']
['222', '437', '209', '432', '203', '260', '389', '106', '263', '123']
['117', '480', '63', '308', '200', '1', '248', '90', '462', '332']
['101', '296', '453', '323', '7', '244', '362', '0', '89', '183']
['420', '177', '214', '28', '132', '407', '113', '116', '311', '392']
['62', '372', '129', '37', '405', '82', '458', '23', '265', '115']
['485', '217', '175', '340', '221', '273', '107', '144', '463', '425']
['156', '69', '349', '329', '399', '382', '429', '271', '424', '385']
['152', '208', '172', '356', '333', '75', '242', '402', '145', '215']
['187', '384', '81', '125', '395', '190', '72', '369', '401', '55']
['155', '227', '414', '13', '235', '337', '54', '291', '39', '471']
['95', '179', '229', '391', '100', '416', '341', '255', '280', '78']
['87', '433', '151', '272', '19', '138', '79', '45', '254', '322']
['474', '197', '122', '447', '143', '10', '397', '170', '148', '431']
['264', '225', '305', '396', '449', '266', '451', '173', '4', '252']
['269', '85', '303', '427', '321', '201', '140', '406', '142', '327']
['338', '368', '15', '220', '59', '237', '150', '415', '165', '46']
['313', '324', '353', '268', '119', '133', '202', '428', '454', '157']
['470', '292', '456', '236', '258', '70', '366', '114', '127', '360']
['350', '351', '96', '53', '390', '423', '418', '256', '374', '141']
['364', '394', '287', '233', '295', '299', '250', '207', '310', '262']
['482', '30', '442', '410', '228', '413', '76', '443', '438', '18']
['314', '66', '185', '495', '359', '444', '411', '464', '339', '316']
['259', '441', '467', '109', '6', '251', '475', '80', '286', '483']
['409', '301', '182', '135', '36', '131', '490', '302', '234', '367']
['285', '32', '176', '445', '181', '110', '238', '365', '186', '158']
['344', '108', '249', '282', '38', '93', '104', '283', '43', '412']
['277', '484', '267', '193', '376', '128', '498', '40', '493', '239']
['499', '352', '284', '231', '288', '159', '92', '430', '478', '361']
['199', '16', '98', '212', '163', '26', '120', '257', '41', '446']
['22', '380', '358', '121', '278', '455', '218', '48', '174', '50']
['320', '149', '97', '61', '161', '422', '342', '20', '126', '436']
['294', '241', '481', '326', '309', '439', '419', '226', '469', '44']
['357', '232', '348', '164', '195', '111', '435', '219', '440', '196']
['304', '5', '450', '461', '25', '243', '388', '306', '147', '171']
['488', '398', '496', '253', '27', '47', '334', '325', '139', '118']
['213', '387', '492', '223', '124', '426', '371', '137', '307', '347']
['9', '11', '457', '112', '194', '459', '497', '146', '297', '345']
['487', '381', '34', '230', '403', '460', '319', '14', '335', '354']
['211', '64', '154', '24', '65', '336', '393', '224', '169', '71']
['102', '205', '408', '210', '192', '29', '293', '189', '489', '191']
