['546', '926', '655', '785', '992', '375', '644', '651', '998', '751', '120', '173', '230', '366', '634', '485', '205', '760', '323', '648', '627', '602', '90', '675', '815', '437', '592', '251', '26', '729', '934', '271', '50', '332', '232', '896', '824', '61', '573', '725', '378', '636', '185', '877', '395', '75', '257', '360', '367', '660']
['544', '269', '730', '954', '93', '575', '721', '266', '650', '475', '887', '537', '389', '920', '908', '687', '696', '487', '58', '141', '353', '853', '314', '553', '867', '966', '521', '864', '727', '688', '568', '245', '147', '865', '668', '994', '766', '796', '261', '325', '424', '697', '961', '380', '637', '505', '603', '938', '504', '142']
['996', '28', '508', '747', '894', '129', '308', '618', '770', '849', '345', '517', '630', '584', '869', '842', '453', '439', '956', '520', '272', '694', '831', '324', '31', '349', '393', '799', '558', '494', '539', '764', '449', '183', '625', '774', '541', '560', '384', '690', '390', '599', '708', '418', '236', '35', '48', '514', '94', '392']
['320', '285', '851', '789', '543', '16', '489', '739', '331', '529', '843', '902', '906', '862', '135', '352', '413', '798', '291', '700', '226', '388', '823', '306', '400', '145', '448', '830', '233', '929', '254', '406', '804', '435', '169', '581', '916', '793', '891', '217', '355', '34', '364', '312', '780', '340', '365', '547', '159', '594']
['610', '654', '338', '606', '241', '461', '441', '166', '134', '79', '371', '204', '157', '78', '827', '763', '601', '652', '21', '695', '23', '41', '462', '692', '661', '220', '162', '973', '143', '847', '933', '868', '919', '800', '740', '861', '354', '344', '663', '208', '857', '199', '315', '879', '593', '972', '200', '930', '0', '18']
['837', '370', '403', '623', '561', '247', '243', '772', '339', '927', '123', '947', '802', '923', '918', '96', '786', '122', '761', '255', '428', '335', '907', '106', '555', '562', '450', '777', '289', '978', '267', '888', '131', '921', '671', '402', '92', '904', '275', '240', '368', '62', '659', '816', '656', '197', '172', '476', '20', '77']
['177', '328', '755', '635', '803', '502', '423', '25', '56', '369', '244', '583', '43', '398', '472', '459', '507', '673', '616', '64', '372', '30', '210', '779', '554', '718', '840', '38', '969', '662', '943', '642', '784', '817', '7', '130', '379', '641', '538', '97', '878', '281', '394', '234', '632', '415', '955', '140', '139', '608']
['707', '836', '572', '753', '290', '24', '13', '912', '911', '631', '33', '276', '834', '362', '997', '294', '486', '284', '189', '672', '201', '411', '670', '702', '814', '264', '968', '989', '343', '179', '356', '571', '100', '221', '986', '810', '300', '604', '227', '791', '678', '481', '427', '686', '726', '124', '359', '939', '664', '105']
['133', '813', '771', '903', '103', '265', '203', '417', '633', '235', '237', '419', '1', '160', '677', '752', '163', '773', '144', '519', '307', '683', '704', '326', '12', '532', '112', '432', '883', '736', '621', '909', '628', '127', '158', '893', '46', '168', '897', '563', '737', '871', '82', '250', '901', '679', '218', '915', '263', '327']
['357', '277', '206', '783', '699', '405', '829', '496', '807', '302', '792', '478', '466', '102', '613', '457', '259', '381', '76', '806', '467', '407', '759', '45', '469', '876', '268', '534', '188', '758', '509', '787', '70', '645', '712', '231', '382', '118', '717', '617', '442', '511', '619', '150', '942', '684', '995', '844', '126', '525']
['646', '510', '434', '768', '182', '913', '409', '17', '500', '749', '858', '438', '242', '795', '186', '732', '347', '3', '274', '587', '301', '981', '348', '855', '116', '373', '170', '252', '196', '483', '63', '647', '590', '181', '820', '769', '138', '72', '706', '744', '917', '754', '293', '582', '318', '107', '743', '51', '578', '838']
['222', '548', '287', '54', '899', '950', '297', '40', '190', '782', '146', '191', '882', '790', '385', '722', '422', '468', '667', '493', '506', '219', '429', '39', '965', '716', '67', '890', '964', '341', '536', '846', '513', '214', '689', '225', '941', '781', '156', '765', '29', '490', '229', '622', '207', '57', '455', '556', '165', '951']
['924', '321', '733', '238', '512', '458', '944', '477', '576', '588', '44', '935', '350', '22', '750', '794', '723', '569', '993', '615', '310', '374', '982', '598', '430', '518', '845', '292', '223', '83', '202', '319', '609', '278', '443', '848', '491', '246', '946', '649', '152', '839', '193', '296', '640', '342', '253', '928', '68', '542']
['11', '653', '282', '410', '564', '175', '605', '27', '940', '866', '658', '288', '822', '591', '767', '363', '433', '586', '886', '216', '957', '523', '109', '495', '397', '195', '42', '224', '305', '932', '715', '171', '15', '192', '705', '125', '984', '334', '825', '463', '211', '304', '979', '714', '391', '248', '531', '14', '905', '80']
['741', '801', '967', '980', '945', '440', '809', '788', '333', '2', '936', '451', '701', '832', '262', '681', '87', '32', '499', '746', '685', '669', '975', '426', '691', '527', '317', '279', '239', '361', '49', '480', '629', '149', '53', '977', '303', '161', '383', '74', '498', '73', '421', '114', '620', '892', '985', '703', '748', '446']
['579', '835', '482', '37', '194', '959', '682', '577', '812', '833', '84', '566', '724', '953', '119', '447', '460', '898', '524', '137', '665', '71', '99', '95', '108', '408', '742', '900', '396', '589', '330', '128', '728', '6', '136', '626', '693', '454', '873', '425', '757', '719', '488', '550', '470', '132', '386', '738', '111', '925']
['856', '414', '154', '69', '337', '720', '98', '212', '416', '86', '574', '963', '420', '526', '431', '552', '991', '404', '797', '872', '884', '711', '854', '283', '479', '638', '885', '311', '89', '280', '55', '731', '713', '59', '249', '258', '110', '399', '597', '881', '184', '484', '643', '850', '676', '52', '465', '557', '970', '540']
