['213', '3', '5', '343', '789', '830', '782', '638', '885', '361']
['30', '490', '685', '348', '35', '597', '257', '998', '649', '792']
['988', '381', '17', '83', '721', '858', '927', '89', '77', '275']
['591', '379', '937', '210', '746', '189', '236', '877', '694', '60']
['368', '87', '314', '806', '150', '358', '984', '620', '762', '861']
['989', '699', '383', '705', '104', '691', '346', '630', '908', '239']
['324', '566', '220', '208', '593', '603', '411', '331', '45', '955']
['95', '532', '563', '263', '688', '823', '701', '157', '78', '431']
['487', '320', '767', '997', '269', '922', '944', '702', '142', '995']
['154', '791', '241', '842', '972', '799', '852', '895', '440', '429']
['152', '747', '209', '188', '883', '266', '986', '539', '327', '717']
['484', '811', '573', '965', '185', '443', '88', '265', '86', '974']
['845', '259', '172', '853', '73', '864', '341', '738', '286', '50']
['214', '707', '227', '264', '886', '680', '110', '855', '415', '595']
['774', '802', '857', '797', '352', '391', '54', '942', '712', '451']
['168', '206', '510', '647', '870', '543', '888', '771', '140', '832']
['261', '12', '492', '676', '516', '677', '121', '776', '463', '230']
['344', '372', '818', '979', '36', '16', '160', '25', '307', '316']
['829', '81', '582', '143', '959', '993', '7', '120', '170', '583']
['488', '634', '527', '803', '956', '575', '297', '426', '339', '844']
['851', '850', '52', '636', '251', '26', '137', '360', '362', '594']
['363', '665', '528', '302', '889', '494', '242', '920', '945', '115']
['155', '869', '637', '315', '29', '309', '375', '295', '430', '874']
['222', '723', '8', '250', '164', '207', '817', '503', '804', '588']
['380', '538', '635', '69', '270', '571', '736', '0', '876', '661']
['326', '720', '879', '133', '530', '128', '247', '498', '536', '183']
['76', '690', '296', '564', '493', '642', '51', '165', '578', '800']
['629', '97', '753', '161', '465', '618', '109', '682', '970', '932']
['709', '819', '614', '308', '710', '146', '238', '191', '196', '332']
['653', '135', '405', '827', '386', '98', '599', '406', '55', '809']
['835', '924', '281', '878', '500', '671', '627', '389', '126', '385']
['812', '856', '336', '182', '396', '966', '674', '813', '80', '784']
['15', '217', '754', '289', '228', '448', '511', '276', '306', '203']
['414', '328', '486', '212', '899', '244', '684', '139', '822', '483']
['535', '304', '370', '820', '758', '479', '342', '401', '975', '425']
['586', '805', '272', '960', '716', '318', '773', '124', '67', '875']
['562', '952', '351', '768', '337', '229', '847', '349', '218', '513']
['350', '59', '760', '739', '57', '903', '288', '628', '43', '731']
['290', '992', '840', '631', '644', '727', '778', '934', '329', '793']
['197', '467', '662', '650', '469', '345', '919', '925', '271', '354']
['357', '64', '544', '698', '867', '394', '291', '378', '322', '745']
['285', '474', '301', '794', '640', '395', '79', '743', '658', '347']
['781', '63', '763', '534', '554', '846', '103', '224', '951', '44']
['298', '62', '633', '619', '356', '718', '299', '728', '537', '893']
['689', '550', '541', '437', '19', '91', '113', '645', '703', '46']
['267', '249', '522', '1', '940', '134', '369', '127', '834', '118']
['681', '863', '179', '131', '125', '190', '547', '374', '910', '987']
['518', '880', '958', '205', '129', '156', '497', '921', '515', '23']
['470', '549', '655', '761', '311', '509', '887', '111', '551', '4']
['485', '833', '741', '546', '199', '427', '714', '418', '531', '148']
['606', '99', '119', '422', '967', '866', '706', '873', '71', '963']
['11', '355', '216', '432', '504', '255', '231', '452', '90', '123']
['9', '735', '897', '330', '752', '529', '116', '335', '985', '859']
['58', '917', '377', '521', '82', '476', '334', '464', '195', '39']
['480', '457', '24', '319', '107', '41', '616', '20', '881', '935']
['871', '914', '643', '166', '279', '589', '100', '253', '438', '514']
['733', '854', '898', '558', '626', '310', '153', '94', '158', '412']
['409', '560', '472', '928', '605', '651', '388', '621', '915', '764']
['268', '364', '453', '652', '994', '695', '393', '556', '145', '660']
['837', '141', '481', '408', '167', '40', '245', '584', '466', '808']
['225', '102', '520', '969', '122', '371', '524', '173', '796', '446']
['744', '112', '499', '423', '6', '491', '929', '826', '72', '715']
['983', '31', '508', '27', '458', '939', '825', '567', '943', '300']
['831', '178', '53', '442', '815', '66', '174', '585', '219', '449']
['757', '533', '232', '646', '734', '604', '505', '933', '982', '838']
['996', '891', '526', '461', '96', '977', '962', '686', '33', '517']
['177', '839', '410', '403', '622', '202', '708', '382', '931', '392']
['663', '941', '872', '256', '672', '489', '397', '428', '136', '317']
['617', '675', '765', '387', '884', '911', '468', '892', '907', '147']
['961', '918', '824', '841', '912', '632', '821', '435', '367', '639']
['211', '896', '953', '193', '693', '105', '243', '909', '882', '525']
['313', '433', '659', '194', '312', '455', '729', '477', '555', '501']
['292', '192', '237', '93', '775', '667', '577', '568', '990', '42']
['783', '722', '284', '439', '807', '421', '759', '114', '848', '240']
['548', '641', '668', '926', '725', '769', '519', '180', '215', '130']
['999', '201', '700', '609', '890', '772', '399', '946', '611', '748']
['579', '84', '976', '770', '648', '849', '144', '200', '540', '169']
['184', '580', '553', '496', '233', '787', '726', '569', '576', '687']
['117', '338', '713', '398', '656', '413', '592', '600', '860', '436']
['862', '434', '460', '780', '561', '21', '657', '163', '615', '171']
['149', '28', '445', '936', '444', '814', '756', '740', '478', '366']
['777', '954', '404', '384', '742', '601', '557', '843', '186', '683']
['865', '277', '274', '957', '419', '766', '949', '964', '68', '608']
['607', '730', '724', '176', '973', '801', '340', '749', '365', '246']
['991', '755', '34', '2', '666', '751', '159', '462', '904', '273']
['61', '13', '151', '900', '333', '798', '407', '175', '47', '542']
['108', '816', '456', '570', '938', '980', '506', '260', '598', '417']
['737', '779', '981', '711', '70', '473', '670', '475', '810', '696']
['610', '948', '187', '85', '293', '596', '828', '950', '612', '402']
['450', '587', '390', '447', '287', '623', '248', '221', '254', '92']
['420', '294', '132', '502', '376', '359', '10', '56', '692', '947']
['624', '654', '321', '38', '786', '523', '868', '204', '732', '252']
['704', '613', '22', '101', '459', '226', '18', '905', '106', '471']
['441', '198', '545', '323', '901', '512', '278', '971', '325', '424']
['49', '32', '282', '162', '590', '223', '454', '664', '669', '400']
['719', '697', '507', '181', '258', '495', '373', '906', '138', '559']
['968', '572', '552', '678', '750', '894', '74', '14', '902', '262']
['836', '788', '785', '303', '65', '234', '673', '48', '602', '581']
['923', '565', '353', '235', '913', '679', '416', '283', '930', '795']
['625', '482', '37', '978', '75', '305', '574', '280', '790', '916']
