['206', '28', '409', '24', '91', '416', '276', '242', '345', '203', '9', '474', '96', '228', '492', '198', '299', '10', '138', '325', '250', '234', '360', '60', '105']
['414', '269', '461', '194', '13', '444', '475', '288', '362', '385', '101', '495', '493', '255', '262', '64', '87', '210', '131', '406', '279', '151', '253', '124', '412']
['338', '11', '241', '309', '190', '438', '244', '135', '486', '453', '376', '464', '144', '311', '307', '289', '162', '83', '491', '26', '300', '34', '8', '378', '218']
['277', '287', '134', '153', '186', '387', '352', '119', '323', '31', '15', '59', '396', '497', '330', '110', '7', '261', '211', '208', '217', '193', '365', '48', '140']
['166', '375', '173', '215', '366', '41', '145', '219', '483', '99', '326', '108', '268', '393', '399', '322', '158', '303', '312', '394', '281', '207', '248', '107', '257']
['129', '302', '369', '174', '471', '456', '237', '407', '479', '428', '310', '374', '452', '298', '408', '319', '221', '231', '402', '183', '304', '62', '386', '236', '392']
['370', '290', '69', '321', '405', '33', '433', '235', '468', '201', '411', '397', '335', '316', '429', '32', '179', '356', '125', '100', '167', '354', '155', '74', '418']
['182', '36', '489', '40', '27', '79', '58', '351', '333', '163', '469', '90', '42', '400', '286', '324', '450', '426', '271', '46', '368', '379', '358', '359', '77']
['410', '377', '496', '16', '146', '88', '478', '420', '22', '178', '216', '76', '39', '334', '130', '214', '227', '172', '391', '150', '66', '180', '200', '111', '446']
['5', '17', '98', '339', '141', '205', '259', '284', '272', '439', '224', '430', '305', '55', '196', '81', '254', '361', '225', '149', '199', '85', '427', '52', '165']
['328', '37', '266', '103', '157', '466', '431', '3', '457', '270', '460', '109', '473', '373', '71', '264', '63', '164', '349', '273', '332', '161', '296', '293', '14']
['441', '84', '102', '459', '348', '45', '195', '245', '137', '329', '436', '176', '220', '188', '70', '275', '425', '488', '442', '209', '295', '340', '47', '263', '367']
['434', '403', '93', '212', '247', '243', '389', '417', '230', '122', '422', '189', '306', '38', '143', '113', '278', '344', '49', '197', '29', '19', '342', '68', '115']
['133', '346', '56', '204', '78', '274', '160', '1', '4', '292', '267', '437', '432', '494', '454', '239', '97', '53', '82', '383', '57', '318', '51', '139', '18']
['357', '347', '350', '419', '171', '95', '372', '187', '249', '128', '169', '92', '50', '152', '380', '480', '481', '232', '315', '65', '364', '490', '256', '0', '20']
['154', '458', '371', '120', '123', '485', '487', '294', '283', '116', '23', '462', '280', '252', '499', '30', '445', '223', '258', '136', '382', '449', '336', '104', '80']
['222', '282', '331', '25', '363', '404', '413', '21', '313', '12', '67', '443', '401', '435', '127', '72', '240', '156', '384', '465', '390', '476', '73', '415', '126']
['177', '308', '175', '423', '477', '265', '43', '44', '301', '314', '472', '291', '2', '148', '202', '317', '463', '118', '424', '117', '184', '229', '395', '455', '75']
['285', '54', '191', '86', '398', '467', '447', '226', '451', '260', '89', '112', '192', '233', '121', '246', '168', '484', '61', '355', '421', '35', '159', '94', '327']
['320', '482', '337', '238', '297', '440', '353', '381', '388', '170', '106', '147', '213', '343', '448', '181', '6', '251', '341', '470', '132', '498', '185', '114', '142']
