['338', '482', '653', '979', '178', '34', '573', '965', '575', '679', '258', '623', '695', '6', '388', '556', '369', '374', '89', '594']
['535', '918', '225', '566', '532', '699', '788', '53', '50', '714', '386', '181', '419', '828', '160', '648', '19', '825', '400', '99']
['313', '380', '217', '112', '135', '555', '674', '505', '175', '500', '657', '126', '515', '729', '615', '826', '169', '325', '748', '105']
['277', '629', '635', '656', '926', '779', '296', '913', '166', '179', '364', '440', '682', '33', '523', '284', '778', '245', '261', '367']
['208', '292', '12', '874', '797', '992', '403', '309', '560', '770', '253', '726', '787', '642', '327', '946', '430', '513', '608', '354']
['64', '831', '474', '508', '472', '13', '133', '705', '899', '512', '939', '56', '144', '464', '597', '628', '576', '186', '875', '859']
['985', '741', '372', '294', '678', '572', '871', '269', '188', '345', '110', '330', '495', '558', '100', '866', '817', '970', '559', '431']
['802', '488', '420', '659', '457', '753', '680', '151', '476', '342', '759', '47', '936', '906', '341', '980', '907', '902', '72', '362']
['298', '149', '274', '754', '978', '742', '643', '281', '798', '721', '295', '901', '727', '174', '539', '215', '834', '581', '881', '606']
['177', '707', '484', '747', '63', '228', '268', '119', '93', '592', '113', '393', '116', '933', '79', '738', '203', '687', '130', '424']
['357', '518', '184', '886', '381', '427', '377', '38', '911', '131', '700', '599', '950', '54', '247', '739', '443', '799', '990', '171']
['681', '704', '102', '176', '376', '418', '349', '283', '883', '243', '45', '180', '477', '260', '106', '139', '300', '995', '861', '715']
['812', '168', '28', '499', '404', '314', '870', '502', '507', '52', '306', '302', '207', '864', '940', '688', '200', '224', '123', '141']
['579', '549', '32', '724', '37', '962', '132', '83', '185', '749', '452', '26', '255', '892', '885', '804', '55', '138', '745', '366']
['485', '213', '31', '586', '442', '867', '229', '921', '319', '164', '631', '124', '545', '854', '475', '903', '848', '389', '873', '275']
['152', '668', '235', '282', '863', '453', '872', '924', '194', '256', '627', '667', '297', '752', '868', '469', '494', '975', '196', '361']
['923', '961', '983', '751', '750', '675', '434', '172', '16', '769', '323', '73', '773', '503', '68', '537', '701', '219', '740', '838']
['214', '487', '481', '387', '850', '554', '909', '497', '189', '143', '70', '922', '590', '651', '501', '140', '578', '649', '611', '466']
['767', '952', '405', '564', '912', '375', '423', '202', '960', '359', '251', '458', '569', '504', '638', '644', '40', '692', '316', '273']
['155', '713', '433', '824', '646', '538', '563', '197', '676', '733', '622', '570', '782', '276', '231', '998', '602', '451', '254', '717']
['689', '222', '22', '783', '409', '851', '737', '85', '162', '192', '884', '775', '685', '318', '529', '967', '971', '944', '574', '931']
['344', '548', '816', '307', '267', '42', '59', '272', '640', '593', '198', '888', '416', '439', '951', '949', '90', '925', '280', '252']
['117', '624', '46', '617', '562', '806', '92', '291', '807', '2', '661', '88', '813', '762', '278', '165', '279', '157', '551', '660']
['856', '379', '363', '969', '847', '671', '636', '114', '620', '772', '712', '598', '846', '159', '583', '595', '584', '673', '239', '446']
['368', '837', '791', '823', '827', '794', '829', '396', '250', '98', '109', '473', '201', '898', '190', '10', '810', '41', '145', '471']
['304', '891', '896', '96', '781', '768', '321', '467', '618', '728', '218', '984', '736', '491', '585', '684', '630', '784', '127', '793']
['836', '527', '241', '917', '315', '337', '690', '8', '91', '479', '238', '942', '858', '14', '567', '519', '702', '568', '311', '142']
['264', '58', '312', '956', '17', '383', '66', '167', '780', '890', '626', '103', '335', '934', '895', '435', '60', '904', '183', '332']
['591', '95', '525', '480', '450', '991', '948', '981', '61', '285', '496', '391', '761', '234', '652', '860', '371', '731', '478', '604']
['865', '654', '968', '533', '324', '765', '343', '957', '299', '82', '821', '331', '373', '877', '929', '417', '927', '44', '115', '425']
['634', '941', '744', '546', '108', '5', '953', '977', '36', '348', '725', '516', '677', '57', '426', '35', '536', '339', '905', '540']
['49', '4', '613', '216', '161', '722', '249', '710', '422', '445', '489', '801', '994', '336', '454', '406', '792', '832', '392', '639']
['625', '709', '698', '97', '328', '370', '182', '819', '718', '432', '233', '771', '766', '662', '415', '986', '136', '887', '616', '809']
['211', '259', '937', '156', '237', '520', '74', '686', '528', '878', '938', '849', '428', '658', '195', '955', '23', '173', '876', '412']
['610', '87', '880', '541', '655', '914', '356', '270', '786', '900', '483', '407', '650', '7', '75', '915', '265', '743', '0', '39']
['322', '320', '84', '777', '220', '30', '565', '384', '65', '522', '582', '966', '603', '411', '1', '601', '107', '78', '790', '429']
['774', '414', '43', '845', '818', '326', '587', '614', '81', '390', '460', '666', '67', '48', '557', '51', '945', '305', '916', '947']
['996', '663', '353', '437', '553', '308', '456', '820', '257', '672', '101', '421', '855', '716', '493', '490', '683', '795', '402', '932']
['262', '544', '355', '785', '543', '521', '758', '447', '530', '395', '121', '670', '993', '455', '645', '498', '125', '776', '999', '18']
['398', '935', '461', '199', '506', '209', '973', '293', '468', '191', '111', '244', '242', '382', '920', '908', '547', '703', '71', '436']
['757', '526', '351', '989', '954', '352', '843', '760', '711', '104', '80', '358', '509', '365', '632', '524', '310', '517', '401', '271']
['246', '735', '835', '15', '205', '76', '641', '210', '153', '534', '333', '236', '928', '128', '561', '397', '120', '693', '514', '94']
['719', '9', '11', '696', '637', '385', '29', '789', '459', '596', '972', '708', '146', '25', '444', '542', '910', '844', '893', '808']
['550', '997', '755', '894', '619', '839', '976', '840', '723', '303', '510', '21', '221', '756', '621', '664', '588', '77', '347', '230']
['862', '62', '633', '69', '511', '746', '571', '290', '853', '212', '448', '410', '605', '27', '20', '982', '148', '732', '796', '822']
['833', '227', '974', '206', '129', '730', '647', '492', '803', '580', '193', '589', '223', '122', '943', '438', '170', '263', '462', '118']
['988', '958', '470', '842', '811', '187', '413', '266', '248', '609', '531', '691', '814', '669', '764', '329', '158', '147', '240', '963']
['869', '800', '552', '897', '408', '24', '830', '600', '612', '399', '964', '694', '852', '288', '137', '919', '286', '360', '449', '706']
['154', '232', '857', '734', '763', '486', '465', '841', '394', '287', '150', '959', '378', '340', '334', '889', '577', '86', '987', '463']
['697', '350', '3', '607', '441', '301', '289', '805', '815', '720', '879', '882', '346', '226', '163', '134', '930', '317', '204', '665']
