['654', '544', '37', '768', '282', '739', '266', '771', '651', '475', '576', '86', '517', '776', '588', '574', '347', '363', '102', '507', '160', '648', '411', '530', '464', '306', '106', '374', '692', '219', '715', '99', '159', '758', '319', '10', '341', '628', '169', '435', '158', '595', '629', '386', '679', '340', '35', '556', '165', '111']
['338', '277', '548', '508', '182', '580', '287', '276', '350', '353', '486', '352', '272', '348', '677', '329', '731', '252', '71', '262', '518', '213', '292', '30', '746', '497', '167', '609', '621', '246', '51', '72', '513', '46', '117', '697', '155', '184', '663', '217', '481', '312', '421', '395', '180', '80', '200', '784', '367', '18']
['707', '572', '646', '370', '5', '328', '461', '242', '477', '174', '173', '9', '634', '698', '474', '457', '633', '413', '520', '460', '521', '672', '270', '21', '638', '90', '506', '665', '39', '81', '396', '125', '164', '251', '691', '642', '515', '231', '332', '354', '754', '193', '65', '209', '236', '708', '726', '318', '743', '604']
['741', '482', '755', '785', '308', '212', '489', '416', '529', '644', '265', '537', '274', '734', '284', '333', '761', '263', '283', '667', '501', '400', '616', '324', '220', '112', '187', '356', '131', '592', '26', '279', '796', '368', '709', '211', '744', '53', '29', '303', '427', '256', '599', '342', '57', '378', '756', '664', '514', '139']
['222', '69', '789', '93', '682', '438', '440', '696', '487', '526', '351', '294', '398', '178', '459', '794', '122', '523', '673', '307', '280', '683', '429', '392', '535', '87', '668', '492', '445', '570', '799', '597', '454', '424', '719', '533', '149', '678', '573', '197', '490', '418', '104', '358', '359', '498', '504', '632', '703', '412']
['610', '290', '13', '502', '302', '528', '666', '203', '204', '186', '471', '485', '141', '366', '586', '381', '763', '314', '722', '786', '376', '1', '578', '612', '602', '702', '23', '144', '171', '31', '349', '769', '716', '728', '662', '7', '536', '706', '273', '344', '791', '538', '603', '476', '207', '107', '620', '257', '540', '522']
['579', '730', '510', '321', '337', '543', '403', '770', '512', '623', '772', '762', '191', '745', '431', '433', '96', '724', '216', '76', '760', '419', '163', '555', '701', '4', '661', '483', '289', '179', '710', '188', '432', '223', '67', '712', '539', '118', '275', '624', '637', '442', '34', '465', '8', '582', '780', '234', '547', '542']
['357', '28', '655', '194', '377', '375', '721', '561', '247', '40', '190', '297', '371', '658', '288', '44', '466', '591', '228', '235', '237', '798', '700', '479', '468', '291', '694', '615', '335', '305', '89', '64', '12', '108', '685', '233', '258', '491', '317', '689', '550', '676', '714', '593', '229', '218', '75', '738', '748', '594']
['414', '154', '269', '24', '720', '98', '423', '331', '120', '153', '687', '792', '732', '362', '230', '422', '189', '201', '627', '116', '519', '286', '298', '59', '408', '249', '38', '202', '181', '787', '766', '393', '494', '402', '261', '463', '138', '50', '379', '488', '232', '607', '132', '690', '640', '82', '14', '415', '77', '525']
['241', '175', '631', '600', '27', '444', '577', '751', '345', '583', '630', '680', '723', '453', '119', '652', '109', '473', '323', '752', '55', '196', '681', '176', '343', '268', '267', '534', '162', '705', '334', '278', '426', '406', '757', '214', '227', '380', '641', '315', '293', '622', '250', '66', '73', '124', '185', '48', '140', '60']
['409', '434', '133', '17', '238', '25', '782', '244', '369', '339', '585', '215', '3', '552', '767', '101', '472', '601', '407', '41', '311', '42', '598', '562', '313', '95', '450', '63', '210', '437', '128', '221', '443', '736', '503', '239', '617', '208', '511', '172', '643', '725', '391', '775', '365', '657', '455', '684', '795', '94']
['285', '653', '753', '405', '596', '166', '584', '790', '478', '385', '613', '259', '205', '404', '553', '674', '516', '255', '388', '310', '469', '462', '430', '147', '15', '532', '448', '779', '198', '626', '729', '399', '649', '361', '625', '717', '152', '659', '541', '355', '61', '85', '765', '296', '150', '253', '636', '0', '142', '446']
['177', '206', '549', '546', '783', '635', '564', '309', '16', '575', '500', '618', '458', '123', '58', '735', '387', '467', '373', '688', '568', '170', '451', '224', '145', '316', '713', '565', '32', '326', '671', '121', '527', '764', '300', '551', '740', '92', '781', '156', '656', '97', '161', '390', '52', '394', '19', '686', '295', '68']
['11', '606', '129', '699', '747', '733', '496', '146', '749', '134', '389', '157', '78', '417', '22', '84', '566', '750', '135', '788', '456', '447', '711', '759', '495', '493', '428', '327', '704', '647', '192', '742', '589', '83', '100', '330', '509', '110', '449', '325', '62', '480', '199', '384', '281', '114', '567', '115', '126', '105']
['320', '91', '650', '79', '103', '56', '43', '559', '360', '587', '695', '670', '569', '397', '727', '524', '137', '452', '148', '436', '264', '777', '718', '590', '143', '254', '271', '130', '581', '322', '240', '774', '304', '225', '470', '614', '563', '737', '151', '364', '383', '74', '545', '248', '531', '47', '669', '20', '608', '660']
['441', '410', '36', '54', '33', '605', '346', '243', '88', '420', '797', '301', '439', '2', '226', '773', '45', '245', '195', '260', '372', '499', '675', '554', '571', '299', '6', '113', '70', '558', '645', '382', '693', '401', '127', '611', '183', '425', '793', '49', '168', '484', '560', '336', '619', '505', '778', '557', '136', '639']
