['996', '129', '328', '819', '564', '789', '618', '54', '770', '33', '496', '813', '371', '153', '882', '362', '698', '178', '724', '314', '553', '119', '854', '761', '452', '808', '64', '213', '845', '112', '668', '685', '223', '128', '330', '984', '341', '868', '454', '92', '127', '891', '977', '315', '879', '455', '35', '632', '743', '115']
['851', '768', '829', '93', '899', '512', '651', '190', '475', '745', '935', '634', '767', '294', '918', '880', '404', '833', '587', '722', '413', '786', '569', '224', '31', '32', '12', '30', '437', '81', '900', '758', '969', '94', '258', '626', '846', '368', '533', '168', '678', '384', '236', '972', '340', '877', '180', '257', '139', '838']
['707', '785', '166', '302', '416', '103', '990', '980', '585', '339', '576', '998', '584', '559', '205', '363', '457', '460', '283', '21', '907', '106', '715', '176', '675', '647', '188', '83', '847', '164', '621', '402', '246', '401', '300', '793', '62', '824', '511', '619', '465', '490', '82', '256', '378', '938', '47', '905', '159', '392']
['222', '461', '753', '13', '337', '502', '623', '920', '734', '763', '467', '956', '652', '700', '447', '601', '144', '311', '865', '95', '976', '978', '742', '571', '249', '705', '432', '671', '121', '278', '821', '873', '800', '118', '424', '240', '624', '857', '871', '29', '505', '498', '253', '248', '971', '939', '895', '915', '975', '660']
['414', '285', '544', '580', '720', '911', '682', '771', '389', '86', '908', '776', '215', '906', '613', '586', '228', '456', '468', '523', '469', '195', '876', '252', '525', '973', '70', '100', '799', '26', '642', '986', '231', '689', '697', '304', '550', '629', '659', '52', '622', '599', '391', '531', '504', '75', '930', '925', '522', '606']
['37', '841', '631', '721', '959', '528', '444', '658', '751', '288', '696', '802', '812', '398', '486', '348', '2', '949', '464', '773', '823', '832', '99', '562', '681', '777', '554', '10', '943', '929', '406', '130', '158', '961', '896', '541', '656', '725', '593', '66', '218', '107', '48', '556', '80', '985', '0', '360', '995', '367']
['28', '635', '282', '287', '772', '944', '466', '96', '323', '612', '116', '673', '170', '555', '262', '483', '713', '372', '408', '718', '769', '110', '167', '509', '964', '254', '382', '934', '693', '539', '503', '183', '425', '211', '155', '332', '355', '754', '197', '765', '442', '8', '878', '563', '104', '708', '57', '342', '684', '412']
['837', '320', '338', '835', '91', '266', '247', '25', '120', '265', '537', '204', '574', '353', '301', '853', '101', '674', '521', '376', '677', '727', '374', '692', '264', '958', '324', '251', '736', '825', '536', '810', '138', '706', '719', '941', '151', '427', '312', '582', '19', '603', '714', '318', '852', '200', '540', '784', '142', '748']
['269', '747', '755', '182', '410', '375', '98', '212', '849', '79', '186', '953', '122', '453', '495', '875', '451', '286', '704', '565', '108', '38', '299', '848', '494', '597', '271', '946', '325', '354', '470', '607', '152', '614', '744', '85', '336', '850', '390', '386', '775', '686', '679', '358', '620', '567', '136', '77', '126']
['549', '572', '321', '405', '500', '600', '866', '577', '477', '927', '440', '478', '809', '471', '230', '827', '884', '760', '479', '1', '397', '327', '524', '306', '982', '430', '89', '219', '4', '989', '15', '289', '356', '181', '787', '426', '904', '740', '50', '676', '250', '74', '476', '901', '726', '185', '14', '931', '844', '446']
['610', '177', '952', '11', '543', '913', '733', '297', '134', '276', '244', '630', '157', '987', '417', '347', '431', '78', '487', '84', '135', '520', '160', '672', '201', '864', '501', '400', '55', '326', '962', '198', '820', '143', '830', '445', '994', '691', '628', '581', '717', '709', '344', '983', '663', '484', '49', '303', '295', '669']
['653', '370', '699', '926', '24', '88', '438', '385', '886', '566', '797', '381', '794', '272', '966', '798', '759', '45', '638', '688', '428', '292', '59', '267', '210', '162', '589', '233', '828', '113', '728', '334', '716', '729', '609', '890', '649', '169', '796', '273', '774', '117', '184', '839', '34', '193', '293', '640', '664', '18']
