['129', '560', '343', '656', '330', '984', '116', '584', '327', '604']
['102', '777', '268', '13', '977', '676', '266', '393', '817', '684']
['774', '320', '630', '675', '897', '922', '185', '374', '611', '262']
['562', '961', '591', '481', '299', '866', '142', '588', '239', '838']
['398', '149', '937', '787', '340', '278', '475', '615', '743', '740']
['617', '5', '659', '467', '188', '473', '752', '443', '137', '822']
['654', '552', '851', '962', '779', '348', '593', '21', '667', '334']
['989', '871', '81', '553', '901', '623', '342', '729', '688', '963']
['482', '698', '312', '390', '828', '940', '469', '875', '60', '706']
['988', '205', '499', '734', '337', '423', '167', '121', '397', '171']
['741', '791', '718', '315', '801', '682', '877', '751', '910', '183']
['420', '470', '956', '131', '376', '125', '175', '16', '569', '542']
['264', '647', '19', '449', '575', '432', '411', '365', '89', '325']
['434', '65', '867', '760', '80', '107', '504', '620', '51', '275']
['554', '419', '631', '950', '163', '371', '180', '738', '118', '361']
['486', '403', '36', '323', '455', '415', '756', '389', '430', '525']
['177', '613', '85', '237', '293', '695', '858', '7', '306', '832']
['907', '818', '783', '878', '589', '864', '346', '165', '506', '360']
['526', '24', '679', '100', '716', '318', '772', '887', '638', '288']
['213', '363', '108', '336', '249', '52', '110', '516', '600', '286']
['11', '699', '189', '45', '519', '990', '998', '139', '130', '123']
['549', '566', '958', '69', '289', '966', '942', '40', '255', '843']
['313', '168', '326', '301', '924', '97', '730', '870', '319', '120']
['370', '441', '303', '465', '271', '223', '341', '778', '583', '435']
['862', '635', '101', '483', '308', '710', '708', '251', '946', '809']
['824', '981', '93', '570', '212', '67', '936', '491', '311', '44']
['480', '328', '541', '592', '70', '201', '418', '825', '810', '951']
['351', '12', '853', '580', '195', '204', '307', '148', '78', '436']
['225', '510', '413', '166', '761', '124', '373', '621', '796', '316']
['487', '865', '265', '29', '445', '582', '590', '388', '310', '446']
['579', '155', '983', '194', '913', '119', '911', '632', '539', '703']
['707', '269', '90', '453', '10', '75', '985', '540', '717', '366']
['22', '355', '545', '190', '762', '536', '127', '902', '852', '808']
['624', '235', '690', '725', '439', '447', '253', '938', '215', '105']
['918', '31', '220', '182', '564', '498', '144', '557', '402', '893']
['95', '678', '754', '437', '794', '364', '6', '503', '263', '999']
['298', '886', '511', '492', '314', '520', '599', '113', '967', '892']
['863', '723', '806', '83', '686', '700', '444', '861', '392', '881']
['987', '211', '668', '973', '775', '971', '712', '915', '400', '551']
['76', '587', '284', '652', '739', '933', '79', '927', '145', '18']
['117', '742', '965', '333', '509', '358', '651', '909', '844', '478']
['58', '488', '30', '385', '270', '507', '666', '849', '873', '99']
['968', '184', '819', '816', '830', '529', '191', '930', '329', '522']
['880', '767', '450', '750', '960', '771', '35', '106', '367', '748']
['755', '954', '122', '157', '128', '889', '547', '585', '111', '20']
['947', '614', '198', '691', '399', '826', '305', '158', '115', '141']
['802', '404', '618', '496', '331', '567', '970', '417', '347', '660']
['485', '646', '178', '37', '405', '197', '721', '207', '454', '821']
['586', '425', '479', '226', '868', '925', '876', '732', '916', '793']
['781', '162', '789', '847', '233', '766', '114', '276', '244', '995']
['831', '448', '161', '272', '497', '969', '601', '994', '382', '429']
['206', '869', '857', '900', '378', '736', '501', '55', '715', '471']
['629', '59', '841', '722', '1', '672', '512', '27', '47', '203']
['735', '991', '765', '489', '426', '662', '934', '300', '72', '362']
['758', '671', '221', '218', '645', '944', '764', '795', '908', '594']
['64', '222', '792', '383', '160', '234', '88', '964', '974', '280']
['757', '96', '179', '571', '733', '502', '898', '657', '626', '524']
['634', '236', '500', '238', '458', '515', '48', '784', '931', '731']
['87', '15', '827', '829', '850', '91', '428', '159', '138', '874']
['550', '979', '61', '543', '309', '505', '528', '972', '616', '39']
['414', '433', '572', '261', '724', '472', '391', '186', '466', '50']
['350', '896', '8', '422', '649', '705', '530', '939', '477', '982']
['681', '84', '208', '381', '156', '674', '884', '890', '4', '354']
['856', '859', '997', '978', '685', '66', '359', '531', '493', '595']
['338', '653', '538', '872', '210', '209', '406', '153', '834', '46']
['232', '408', '803', '460', '899', '855', '438', '945', '683', '935']
['324', '693', '596', '921', '386', '74', '25', '243', '14', '452']
['833', '135', '34', '267', '622', '256', '229', '561', '578', '224']
['610', '607', '976', '193', '953', '38', '521', '2', '558', '77']
['533', '152', '744', '132', '394', '642', '919', '882', '252', '975']
['996', '548', '565', '456', '714', '17', '150', '416', '332', '606']
['845', '294', '82', '202', '749', '860', '335', '920', '0', '273']
['917', '746', '957', '192', '786', '407', '605', '677', '790', '196']
['689', '176', '377', '820', '287', '701', '104', '627', '669', '555']
['214', '277', '546', '655', '737', '164', '283', '929', '56', '231']
['805', '143', '476', '302', '57', '248', '949', '527', '800', '412']
['9', '304', '227', '835', '290', '807', '648', '395', '140', '514']
['49', '663', '474', '259', '747', '720', '257', '279', '904', '71']
['837', '894', '563', '151', '490', '200', '773', '823', '576', '885']
['704', '457', '914', '785', '711', '612', '943', '369', '628', '665']
['836', '713', '941', '292', '409', '459', '281', '146', '126', '639']
['719', '344', '353', '410', '959', '650', '848', '103', '462', '43']
['484', '112', '680', '534', '349', '609', '694', '92', '932', '424']
['322', '3', '763', '387', '912', '297', '799', '42', '440', '696']
['154', '217', '641', '839', '356', '254', '903', '702', '345', '173']
['625', '368', '54', '181', '798', '895', '814', '41', '246', '240']
