['654', '781', '267', '416', '107', '276', '310', '503', '275', '361']
['178', '459', '618', '603', '238', '516', '26', '773', '669', '39']
['11', '380', '370', '563', '296', '122', '720', '82', '726', '170']
['313', '681', '797', '59', '587', '545', '682', '401', '440', '424']
['298', '637', '408', '714', '252', '150', '397', '120', '44', '385']
['216', '85', '293', '146', '609', '334', '558', '539', '494', '86']
['155', '653', '108', '289', '230', '723', '247', '244', '72', '483']
['368', '30', '65', '309', '250', '443', '469', '527', '147', '717']
['617', '217', '724', '699', '356', '676', '428', '257', '360', '316']
['663', '76', '249', '418', '295', '787', '358', '14', '540', '215']
['9', '698', '678', '364', '323', '660', '716', '602', '75', '606']
['286', '22', '398', '783', '422', '672', '576', '506', '307', '141']
['227', '572', '499', '210', '647', '509', '626', '782', '41', '332']
['193', '101', '237', '287', '623', '648', '226', '111', '574', '280']
['448', '722', '162', '93', '468', '759', '670', '673', '159', '665']
['363', '461', '427', '490', '70', '251', '766', '739', '524', '517']
['707', '552', '734', '12', '467', '593', '592', '113', '577', '693']
['533', '62', '292', '36', '166', '256', '116', '341', '519', '522']
['156', '343', '13', '725', '291', '25', '644', '462', '325', '446']
['350', '232', '659', '223', '419', '770', '333', '359', '98', '35']
['788', '314', '83', '258', '455', '729', '68', '556', '449', '412']
['344', '269', '42', '718', '382', '288', '621', '578', '692', '616']
['646', '326', '69', '520', '394', '708', '523', '273', '706', '50']
['214', '487', '213', '450', '750', '614', '119', '340', '153', '731']
['355', '194', '235', '779', '54', '201', '243', '389', '329', '46']
['697', '777', '668', '746', '270', '131', '283', '671', '784', '639']
['613', '28', '102', '532', '765', '209', '756', '23', '4', '196']
['546', '259', '57', '695', '612', '260', '701', '551', '60', '77']
['97', '541', '384', '703', '432', '189', '728', '620', '588', '581']
['624', '383', '212', '104', '128', '234', '106', '169', '429', '425']
['763', '502', '601', '175', '221', '180', '466', '327', '559', '354']
['488', '268', '486', '472', '377', '239', '318', '163', '79', '513']
['31', '484', '15', '24', '690', '7', '694', '536', '246', '436']
['753', '301', '132', '679', '6', '114', '477', '173', '748', '594']
['591', '791', '149', '32', '566', '680', '473', '557', '219', '118']
['792', '441', '404', '34', '465', '528', '749', '568', '649', '127']
['211', '610', '3', '381', '721', '33', '393', '489', '378', '764']
['58', '548', '510', '656', '290', '17', '218', '796', '261', '18']
['767', '633', '675', '135', '315', '1', '302', '74', '191', '322']
['117', '304', '625', '794', '151', '732', '500', '100', '186', '99']
['544', '61', '192', '348', '16', '391', '667', '650', '254', '471']
['420', '225', '433', '328', '521', '686', '530', '317', '157', '262']
['709', '177', '550', '730', '755', '768', '255', '400', '204', '687']
['379', '274', '573', '554', '711', '266', '799', '67', '688', '362']
['372', '607', '96', '188', '752', '464', '56', '339', '90', '78']
['704', '152', '241', '53', '233', '512', '458', '245', '224', '0']
['719', '49', '410', '390', '640', '775', '92', '515', '300', '595']
['222', '184', '84', '580', '19', '599', '761', '399', '374', '347']
['485', '526', '5', '549', '176', '457', '543', '386', '110', '491']
['64', '63', '684', '437', '37', '789', '760', '109', '702', '658']
['264', '508', '754', '445', '636', '136', '139', '158', '740', '126']
['357', '641', '172', '282', '571', '396', '336', '48', '140', '715']
['338', '320', '735', '747', '161', '337', '352', '685', '2', '200']
['481', '198', '596', '423', '388', '638', '584', '89', '683', '745']
['87', '351', '52', '590', '66', '627', '632', '345', '145', '115']
['208', '560', '492', '631', '537', '124', '664', '751', '628', '183']
['497', '331', '426', '567', '762', '335', '195', '402', '130', '608']
['29', '674', '758', '376', '207', '504', '642', '585', '94', '392']
['538', '564', '733', '622', '349', '248', '666', '88', '727', '743']
['774', '562', '643', '236', '498', '645', '203', '514', '611', '793']
['470', '81', '786', '229', '439', '507', '529', '134', '45', '171']
['741', '168', '565', '375', '460', '600', '185', '144', '454', '795']
['518', '206', '220', '409', '228', '476', '769', '306', '305', '105']
['744', '129', '405', '413', '496', '73', '297', '452', '561', '597']
['689', '154', '798', '700', '421', '569', '80', '406', '20', '431']
['95', '324', '143', '164', '330', '319', '365', '10', '444', '265']
['713', '619', '742', '312', '202', '657', '542', '790', '55', '661']
['294', '187', '299', '160', '575', '677', '40', '778', '231', '279']
['321', '272', '705', '479', '407', '47', '242', '501', '43', '71']
['757', '414', '179', '553', '38', '652', '411', '495', '190', '547']
['655', '737', '27', '662', '415', '615', '369', '137', '240', '696']
['586', '284', '308', '133', '91', '271', '342', '346', '451', '598']
['579', '353', '387', '710', '447', '253', '771', '605', '691', '555']
['205', '197', '456', '505', '103', '165', '430', '138', '478', '525']
['281', '21', '121', '373', '367', '438', '174', '630', '417', '123']
['535', '480', '303', '311', '531', '435', '738', '583', '776', '51']
['634', '629', '511', '182', '570', '167', '712', '263', '142', '604']
['277', '285', '474', '434', '785', '181', '395', '475', '148', '366']
['482', '199', '635', '442', '403', '8', '125', '589', '780', '371']
['112', '534', '453', '582', '278', '493', '772', '736', '651', '463']
